goldDiff,win_rate,num_samples,std_win
-8000.0,0.04213836477987421,1590,0.20096796841688191
-7500.0,0.058012636415852956,1741,0.23383450740154557
-7000.0,0.06807632800412584,1939,0.25194181342040906
-6500.0,0.07672188317349608,2294,0.2662076782097743
-6000.0,0.09987917841320983,2483,0.2998992335157014
-5500.0,0.09654932032066922,2869,0.29539458887223713
-5000.0,0.13216957605985039,3208,0.33872783319344485
-4500.0,0.14994487320837926,3628,0.357066591248446
-4000.0,0.1755526657997399,3845,0.3804886059220673
-3500.0,0.1960686737994526,4019,0.3970704960792889
-3000.0,0.23648029330889092,4364,0.4249691141128456
-2500.0,0.27314717614948564,4763,0.4456225851709387
-2000.0,0.32095387021110244,5116,0.4668887361125475
-1500.0,0.3669724770642202,5341,0.4820240457726359
-1000.0,0.4279888785912882,5395,0.4948330878412717
-500.0,0.47440096535080156,5801,0.4993873044929383
0.0,0.5282319231417495,5933,0.4992443975196713
500.0,0.5736622654621265,5756,0.4945870684507681
1000.0,0.6144690347777572,5377,0.4867657606174683
1500.0,0.67357910906298,5208,0.46894831144057925
2000.0,0.7134292565947242,5004,0.4522043979229597
2500.0,0.7597034452682075,4586,0.42731011692608645
3000.0,0.7932339194302248,4493,0.4050313332730209
3500.0,0.8286635259112324,4033,0.37684943956487726
4000.0,0.8492168834616406,3767,0.3578848547408011
4500.0,0.8762331838565023,3345,0.3293645733287852
5000.0,0.8956436931079323,3076,0.30577191429759926
5500.0,0.904709748083242,2739,0.2936690421207506
6000.0,0.9196933010492333,2478,0.2718222772089882
6500.0,0.9387848332571951,2189,0.23977934674686807
7000.0,0.954983922829582,1866,0.2073949871779294
7500.0,0.9619047619047619,1680,0.19148319983767317
8000.0,0.966452533904354,1401,0.18012549017184143
