tier,metric,diff_bin,win_rate,num_samples
IRON,goldDiff,-16000.0,0.0,50
IRON,goldDiff,-14000.0,0.0,70
IRON,goldDiff,-13500.0,0.0,55
IRON,goldDiff,-13000.0,0.0,115
IRON,goldDiff,-12500.0,0.0,180
IRON,goldDiff,-12000.0,0.025,200
IRON,goldDiff,-11500.0,0.0,265
IRON,goldDiff,-11000.0,0.057692307692307696,260
IRON,goldDiff,-10500.0,0.03225806451612903,465
IRON,goldDiff,-10000.0,0.05333333333333334,375
IRON,goldDiff,-9500.0,0.025210084033613446,595
IRON,goldDiff,-9000.0,0.06015037593984962,665
IRON,goldDiff,-8500.0,0.03205128205128205,780
IRON,goldDiff,-8000.0,0.05025125628140704,995
IRON,goldDiff,-7500.0,0.04878048780487805,1025
IRON,goldDiff,-7000.0,0.05405405405405406,1110
IRON,goldDiff,-6500.0,0.07612456747404844,1445
IRON,goldDiff,-6000.0,0.08108108108108109,1480
IRON,goldDiff,-5500.0,0.11684782608695653,1840
IRON,goldDiff,-5000.0,0.14536340852130325,1995
IRON,goldDiff,-4500.0,0.13800904977375567,2210
IRON,goldDiff,-4000.0,0.16289592760180996,2210
IRON,goldDiff,-3500.0,0.19387755102040816,2450
IRON,goldDiff,-3000.0,0.2247191011235955,2670
IRON,goldDiff,-2500.0,0.2785714285714286,2800
IRON,goldDiff,-2000.0,0.3245400902464422,2881
IRON,goldDiff,-1500.0,0.39663865546218485,2975
IRON,goldDiff,-1000.0,0.4511400651465798,3070
IRON,goldDiff,-500.0,0.4946889226100152,3295
IRON,goldDiff,0.0,0.5653409090909091,3520
IRON,goldDiff,500.0,0.5692995529061102,3355
IRON,goldDiff,1000.0,0.642512077294686,3105
IRON,goldDiff,1500.0,0.6537216828478964,3090
IRON,goldDiff,2000.0,0.7281368821292775,2630
IRON,goldDiff,2500.0,0.7632575757575758,2640
IRON,goldDiff,3000.0,0.8008048289738431,2485
IRON,goldDiff,3500.0,0.8488888888888889,2250
IRON,goldDiff,4000.0,0.8632286995515696,2230
IRON,goldDiff,4500.0,0.8926829268292683,2050
IRON,goldDiff,5000.0,0.9118457300275482,1815
IRON,goldDiff,5500.0,0.9258160237388724,1685
IRON,goldDiff,6000.0,0.9131832797427653,1555
IRON,goldDiff,6500.0,0.950207468879668,1205
