matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7754830385,1903,4-bpLZmkZW3Ux8807nUi_iSelR7MZit4ANLZkmski0rqqrpX-o667nDtJ4DqOAI-vz4sLwcfUtl9XA,100,1,TOP,Malphite,DrMundo
KR_7754830385,1903,ZkSk1QwTrZGVSWivCsoLjqgoEtB-5WOPFDvkdz0bPQs0Mp7Skbr-WilLfKakKd3Oou5xBQmEGyA_Iw,100,1,JUNGLE,LeeSin,XinZhao
KR_7754830385,1903,ldsyD91qbL-WNZEtJr8U1FoOrYmvAk_6b2efV7y8F01OmZoTQVMVQWqQUxC_A8L5XxUqhRo9tJmiVw,100,1,MID,Yone,Neeko
KR_7754830385,1903,3_mxh1XyQ91vtc_IwNgzTtkaXhlx1VDkyfu2IfCZwtTPH38dbp2kiPkDCoZ0dxOA91QdjQsU8R3y9A,100,1,ADC,Smolder,Lucian
KR_7754830385,1903,bku9F8B75COvhafjC8duR2wFXyNnG59zt13BQ_vP39_Flh6fglYNvnGVkvoWXTzbLIZDFZc-oBwIXw,100,1,SUPPORT,Lux,Nami
KR_7754830385,1903,SybmC3M2TrJ8nmM-UNcGAgddcy-AWb7CI7cizzcjJ2hSPg5i0MmXTQ-ydhRvgHtFb2MBpLjMyWcEFA,200,0,TOP,DrMundo,Malphite
KR_7754830385,1903,gDQ4UfItA1mV8trWj7V4qRmFPmK4gbllvHYAJESl4d65bs_YauEvzsXRGvZEGbNuRP9ltUZ5GEqpjw,200,0,JUNGLE,XinZhao,LeeSin
KR_7754830385,1903,DP_qKsvGuNE9PphCLGRL-iNQ0fjW3FUEiKq9Fg7cYqx5pHkNugYsL4eBzQliTZ0QGdBnQdT3WMgzPw,200,0,MID,Neeko,Yone
KR_7754830385,1903,lJ5jr6BR0PJN2a9tPHvW4ygwb74ejvSpgr_z8xpcD1x2ICO-0jgc-_-ljOhZ3hrornDmb6zn-VQurQ,200,0,ADC,Lucian,Smolder
KR_7754830385,1903,McRb6aRuuNoeL0NnVrD2G9s8S5IUgqPqXk3HfFdK9OoKIYHIBzfwknWxil5Y2TzHga5JIG9X53R52A,200,0,SUPPORT,Nami,Lux
