matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7656146064,2018,IiLePD2_ghX5H1-hGmKZb3n5JFdUWM-k4U6iYShfa1Kn46DPx7Yij_FhMOqjPM-gibYyvPtKFPzPTQ,100,1,TOP,Fiora,Camille
KR_7656146064,2018,edeqt4PoV1Rxa_a2mlsn0MvxpNeIhwjMikXBKSC_YefIbwnuXChlSFpa5roptVXPPyjbQ34eGbOunA,100,1,JUNGLE,Talon,MasterYi
KR_7656146064,2018,TxzEduHtmNO3_YUe0W2FWdB07MouY3SzErgXQXFuEYHA1jumuVs1gUtLxEmJTpb0FjGMXw5_7pikfg,100,1,MID,Leblanc,Orianna
KR_7656146064,2018,PQE_IebMlfMmzlKpJOCekgsSx3C47KEo5JvLr1xX9GdTFfFiFTKaRnVctyZl8sM1n1yLDrNwo8Invw,100,1,ADC,Jhin,Draven
KR_7656146064,2018,IpK5UIcmLO7r16LUYTkhUxjaBpcR2kBywXi-IYOKWkvLKbhFIDIZLkw90Vliq7OtAiXBv6jEKdyT6g,100,1,SUPPORT,Neeko,Swain
KR_7656146064,2018,aAy2LDsKsYfQ_87THCQKexv3obXQoi0A2rKWhqAj9Pz6Q9I0TYbhlEGf0NnIT9cwhJcSjD7IVlnrOg,200,0,TOP,Camille,Fiora
KR_7656146064,2018,hBSs_eFolQOqqXS3utBIMq7N0ZrVuNiSFfXsrNqhOlvNDSkm1hpE5GnT_jsViu60dpJkRhuZec8Apg,200,0,JUNGLE,MasterYi,Talon
KR_7656146064,2018,8YViFcoBd1eJfUDHeBKT1b5UrC6bSWXbfNTQOqjAEodlbG5KEhPKNk1yWa9nnMem3flpyh53MrDtEQ,200,0,MID,Orianna,Leblanc
KR_7656146064,2018,ApW51rVTV9Q3wrpI_rJ4vWfKQzRZnLABjCc7f1wPR6WCFOtYRhWq9wKJJqUnWdJgjyWK8b-4nsGJ2g,200,0,ADC,Draven,Jhin
KR_7656146064,2018,M08-cuUCiOH1LbisErTFAYE4I3jCSsiF9d41lSZnlzE0BbtTsoTHUJx9OdTb9GJyYBAQ6qdQmJF4dg,200,0,SUPPORT,Swain,Neeko
KR_7931493931,1595,T2BS271Va_hFN7koXkWMc8uL9leMhHF3_7-PdbNPFH_8H-Y9sXvbYSqvp7Uqpq9QmGJ1_JWSHySw5w,100,1,TOP,Aatrox,Renekton
KR_7931493931,1595,xCNZLYRZ5ruBLKMd_7yyEk0nkLrzRF3UAcN-Mto7PIRwK59mq3NeyV0iFtTs3JVkdxqfRTy381sF6Q,100,1,JUNGLE,Ekko,Zaahen
KR_7931493931,1595,hsy_S_rLgbg4yF6CJuggD8yg03eF2b6H477o_5HZl_qjhZjYtTOt3wxtcupUrGQEaOf8zT-BYGxSyw,100,1,MID,Yone,Yasuo
KR_7931493931,1595,pACjvllWoTuYJkA8V83zHsvFzyvbVvaLYdHGXZskkJ7uvMdz5fdrNxdrVTYfkIwlftF4P_A2jjf6bw,100,1,ADC,MissFortune,Smolder
KR_7931493931,1595,_NF9b4w9jdEcxDq-jWnb1OUXRVsCvgXRvJpCTfQ6IynAd-cmrrDzrPXkWZBBImUcfJlvqRM37tq87g,100,1,SUPPORT,Mel,Ezreal
KR_7931493931,1595,RZXwPDMsjoxRqjIQfJQvpDmQp5gLPANLjrbfUcGKXAYy7iR61O1Xa4zZ5NWxW5qHiffgDd0DTWp-bQ,200,0,TOP,Renekton,Aatrox
KR_7931493931,1595,hGu4G9w4r0JeyQR0IEDrSUggbDzo1NLlZSyrTr8FLoB4uJWgUwnPWQoCxyou9MkmTbElE9DHsOWK2w,200,0,JUNGLE,Zaahen,Ekko
KR_7931493931,1595,iDZegRwP3gFdJ6EB5XaGgfPQtzYEJW5la1WW7IeYHru76cGqyT8KPlKHb9LpFGOgIAhSZBVvE3ZNJg,200,0,MID,Yasuo,Yone
KR_7931493931,1595,rueLgTZ-sRae4YW6DQJQ5KI6lO4PlbWCNXZrUjt-VEorzZeuMjaK6u6M0Ep6jYQIiX3Z74b3r3MPRg,200,0,ADC,Smolder,MissFortune
KR_7931493931,1595,z9Hs80i2KxPDMQ6PeyKxXVsdzyy5Nn4YJRzJ6YEcHUmfBvz4pzyNw2eGAJ_ai2m7dGKXLOvr_e7E0g,200,0,SUPPORT,Ezreal,Mel
KR_7928123580,1797,4JBGuxFK2AJssCUOost4_LRIs7BJ_5NP3yVhXOA_1FmaavKiQicOAQmztNogrpHdzsW87UB3Y5zc8A,100,1,TOP,Briar,Malphite
KR_7928123580,1797,uhhUCYr8ivrHltpB9exTQhBTAS0ZdrQ0YjqCjAbp5Aiqwl-fergxy3L53JaOxi5isz_xB3gkyT49jw,100,1,JUNGLE,Amumu,Belveth
KR_7928123580,1797,EHsjbcd4wtOa2bggGZL-JeCXMKC4s7YAnf-RL5v43UCmyBCRwPya-oFjIaiaRQ6I2YCv2z-wWfPTpg,100,1,MID,Leblanc,Akali
KR_7928123580,1797,Z-74mWyzUOuD2USU8jGuA8muc3TXU0OOyA9O_EMktEc0k4wy5n_PXc8rxcAzgwR_PdNNmKLHjMvhXw,100,1,ADC,Yunara,Varus
KR_7928123580,1797,cFXxGhf0tUBuMboeNEwfIxDD1cUVK-n9ZE99ZMLWq5CszWaDlGCbe1H-15yGmMcaxK64FU5yaxCyyw,100,1,SUPPORT,Pyke,Lux
KR_7928123580,1797,pyOuUU7VYIw4K54tKslUCcv4KwKMXmNseWS7wpEIRCnOD7x1o6W3INjkxR-1DPnd1fwe7MKsUXsBsA,200,0,TOP,Malphite,Briar
KR_7928123580,1797,hUSno0ugh8cUuppS-8BWYyTTRw6YRim3tHUPLV05hkWhAAwxz4E9iFRt1Rs6GhL3xtic1PCDZAGw4g,200,0,JUNGLE,Belveth,Amumu
KR_7928123580,1797,aUHuupplfY8pJZomNLYoE1KZ6ycgSsyjDTZPGjK7X8YbUi295yPh9Hj_k-iUpDrJhrE1nqyfNlD7eA,200,0,MID,Akali,Leblanc
KR_7928123580,1797,7ozFARortWTG4JcD03QFqvHeyoQe1TabOHw1_HyqXlTxC4hvKvKy0Fy3YwxSbhu5OOlrWazPsK738Q,200,0,ADC,Varus,Yunara
KR_7928123580,1797,HfpnORy8l-6qUTADTmxZI7d-I2uVRavtXf31qPFWWxZ4RpO8WP1Ki9xjMFSCzNWWr771r3cHR-fakg,200,0,SUPPORT,Lux,Pyke
KR_7890064428,910,z1puILP7kQqmKge129AoIEc-fmi3oz-m1QLoEWDc8uM_2Y4Zh8lBGL4WnBEi--AUG0RSLVVM4xJfNA,100,1,TOP,Warwick,MasterYi
KR_7890064428,910,03tXnonok8l0Ft0UuBa9QIVEG-xT3n9Z3C1cHsHbU_EWElNBYJXeHukwz40SXkvbqZDh3L3hdj7PvA,100,1,JUNGLE,Briar,Elise
KR_7890064428,910,k4kZF9cHgxTkZWErUL2vZTn33KZQs8joZPjVJ3av72oPqFc7zQJz054l-NsegMU51LdpYpWwrXgeuA,100,1,MID,Yone,Ryze
KR_7890064428,910,uFqdakukrXbYet8tJCdO4jqt2wA8WS0OFJKCG45GRuZSZ5ok-GA4b6dxANTIXMgUTXHk1L3dHliurQ,100,1,ADC,Jinx,Kaisa
KR_7890064428,910,N6ZkAQnegFrhG2X3l99cjWN3k87odGHhm7yGwUljvmrSfXp8EiaDjlFskeOA5M3_Rf0W8Q7YlSPNiQ,100,1,SUPPORT,Shaco,Rell
KR_7890064428,910,w03jNcAdCqFF1Rp4nZB0NKSg6KqIK04eLt9GqGbr4nV9zgN03CbFh-BXCCLJHip4GIoHWGMb5gnMpw,200,0,TOP,MasterYi,Warwick
KR_7890064428,910,oZsbJ8X__xvASvlKjc3R2tNhXV35ZHoE96ISdmafROA1izdihPJSAUCXHq-5bxLZ213UzqVJspcR0A,200,0,JUNGLE,Elise,Briar
KR_7890064428,910,laq1prOly_QmdSjGHXSbRJWLscrJIBskweygOO7hXkyUUlxjmK3sIvzDRhu95786pLfCijkINxuLAg,200,0,MID,Ryze,Yone
KR_7890064428,910,LtlT4eoIKjGoGQ0hBUwa7v5bpBJ50ntReOjf6apx59cYQ3A_SUaIQGasVC_Eko0qyLPQzeKhDo0ABA,200,0,ADC,Kaisa,Jinx
KR_7890064428,910,zs4QN-vgai2YFkAEq_sg6xFPizsENofe6ZRSWzCCNtoTxTmQsdMDOSiRvK_WdrZb5ZkcTojdw2BiUg,200,0,SUPPORT,Rell,Shaco
KR_7732716683,1510,ukKDgebR15QCLr51avhaA1cXWxasVqQS0Y2m__KdZjr5svGHeI6QDD_t3PTdK-Yd4hEGWVnT2O-t5w,100,0,TOP,Sett,Mordekaiser
KR_7732716683,1510,MPi3Hq_p0RzGIrqVQoD5eMN6jcXsa_qvaKlvEF12bE4PhRcdCUMf5Fv1-X9qDMl3gNOGSoTqbr8K1w,100,0,JUNGLE,Volibear,Viego
KR_7732716683,1510,GTaGPbguDL0coV-1oHGak9DBBffvFtTZlxrI4Z9RFpqxyF0iRtWWyaV4kZahGbXMiW6J3dzen9yesQ,100,0,MID,Ryze,Yasuo
KR_7732716683,1510,NxfY57AilOO4BRkDRxN_G1KYrW6IMw7O5ZaUx2uPnOoCtsMtEU5SgnujQ7iS0dcCbRpzcXdaH-45Pw,100,0,ADC,Sivir,MissFortune
KR_7732716683,1510,eILAk7X6ugkNHUbA9YwfychJZ3m6pJbtTztuV_wLActIcvSkYv6abD1d51EYVIpUh6LUDmQUgsRPUQ,100,0,SUPPORT,Alistar,Thresh
KR_7732716683,1510,vIMRuhRKKxVFMQD-4_WDse_5rEAdBVbtN4bGO5Xi8Fjkdd7DMDKWf9xBKMUeptcaJYVToIHSWgLQSg,200,1,TOP,Mordekaiser,Sett
KR_7732716683,1510,vvcpLz4QBsfecX2rZ0u_kOo646kU6W_zTWNQjx6nhiEGgiuB4RFZ53X75R2L08panB93P2E4-Y4lmQ,200,1,JUNGLE,Viego,Volibear
KR_7732716683,1510,XTXEGzkBknCHJzDg_0tXvVIxLsw5DuCJbcU_EGOHjiYY2V5H45-yxuwqoppSD82i_0xtCQy3XwZZXA,200,1,MID,Yasuo,Ryze
KR_7732716683,1510,r1tuW2FdYhoTNquJvKMvLExngw_QhYRNxCr1R2aZWPyJpzDu92o__8j757USLgQ7eStH9KSs8LI0Lg,200,1,ADC,MissFortune,Sivir
KR_7732716683,1510,pv4XCSQhA-BX8o2F1JiWYmJ7enxxJqZOh-Dmzdjgmoc2axyl7a8Yt6vjG-LLHfaMVLS03IgjK3Skiw,200,1,SUPPORT,Thresh,Alistar
KR_7931594671,1696,k9UDTFJ7ISRyNgUIN1BZudNOWK1zxsF-6wpaJRq2qTH6LNDw5MJtX5urcojlFWpW7Qwr5EmAsYkQSg,100,1,TOP,Malphite,Teemo
KR_7931594671,1696,-RLognG7elisW6rfw84P8GQZqg0kpwIwPGpWyAYAFhfAysNrWRKIbF5i8WHD8VHEiPGPEfGOkSGaNA,100,1,JUNGLE,Jax,Talon
KR_7931594671,1696,E_dUCBQQxyHCTcAM02nM7CWW2ICzOqGUtkgFZTeUgKGyUeVDEv1GWeeMRoYAyUBiKzas4xhYENGenQ,100,1,MID,Hwei,Xerath
KR_7931594671,1696,0UzYI0gxG883E7xBmB_gXIuvUo9fVqvp_X26OH_nEiXbkXg4vUcTtaIsn0KhexNIODBefh_2GeVx_A,100,1,ADC,Smolder,Vayne
KR_7931594671,1696,RZXwPDMsjoxRqjIQfJQvpDmQp5gLPANLjrbfUcGKXAYy7iR61O1Xa4zZ5NWxW5qHiffgDd0DTWp-bQ,100,1,SUPPORT,Maokai,Morgana
KR_7931594671,1696,JUUdyZ8MaKmp2_tSv4vBB8tGAQKR1Vp_uYjwUwFKB1IcJ0zf1q97J9ONgPq8hNyOt_FZMSu_Hs_YMw,200,0,TOP,Teemo,Malphite
KR_7931594671,1696,xxYcOfTvUv8cJlPAqCRAOlFuyHsKw4E200515BfJd80V2nSR7ngu4v-9ohQgx_VhPlPBsiQoUnhp9g,200,0,JUNGLE,Talon,Jax
KR_7931594671,1696,SJtC6bQDC46lrcLzXgcpq42mRBkOKwqJnuEUfH_OSJcZxhItuG-WKy-osskUkiKAzM893OqJEiCLAg,200,0,MID,Xerath,Hwei
KR_7931594671,1696,ykmBsF6z-I_EqzGjW_MgSz-aMlA8OxSn1QjdlF6U0t6dGN25k7cb0m1Wb1cUCwd53fbQ7pcpbBIT1w,200,0,ADC,Vayne,Smolder
KR_7931594671,1696,2AIJcP_Suf0oQ15YxL4p-aktnKVvhVnyekqHTOMGpDr_L7nf3x-2AG-69yX5dYwAUDkcxouCsNgl_A,200,0,SUPPORT,Morgana,Maokai
KR_7927905095,1640,rkovYaqRtdn-_odzYhDOyl7gCcExgafjjl9UGHPzYYJWrL7fygVqx2BWiXwmDsHyx03b2AvlSjoGzg,100,1,TOP,Pantheon,Varus
KR_7927905095,1640,FRwW9x9i9UNdovDuWbJ7LfTDJzyRJao-ItVG9EhGCxrcE4a-Fp9Db11UdkbGrU7cqJsQj5gFz_vVJQ,100,1,JUNGLE,Lucian,Sylas
KR_7927905095,1640,nIY-sLNik3NsfzoFEMoMil33pKgEFrZpx8MP-XZS8L32HvTSzJto3AT_Vbe0qtN2aT9uOaC73BJBmA,100,1,MID,Caitlyn,Gangplank
KR_7927905095,1640,gYZLIMGW0TULH7WvLHH5Rw376BQ6Zvp8aN44PHfmK_Vs6IhRNiTETXtVgC0bvtidtiOpRQMA21AH4A,100,1,ADC,Ashe,Kaisa
KR_7927905095,1640,q3Z3tO4KzNYABEdMrhPYp575g6d7uWgtI0D3uDjMd7EKNRr-TziyN79MtcyMnrrxIPE__-tpsTaZ5g,100,1,SUPPORT,Blitzcrank,Pyke
KR_7927905095,1640,0YmaGmNVF515ODKqkhztLjDNT0PeUB-dQ9VvpKbmt2UCS_8fZlJaw5Okbvq3-ozzy140xoziTvO3Gw,200,0,TOP,Varus,Pantheon
KR_7927905095,1640,6qgjr6hpgSHhiifdZXS1QQGor-sQxIErs9XklGo7BdY86tej8kWCGKK9l_y3N5sRMDRNk6TI_0Dc9g,200,0,JUNGLE,Sylas,Lucian
KR_7927905095,1640,scJShK6ZMm91DJjVy67btWxmYSYPg_-3tekANY_VMHtZ-4J5O855xsuAlWt1tIBdQzRrsZDfuNyDeA,200,0,MID,Gangplank,Caitlyn
KR_7927905095,1640,KQL59mjmjbKIk6xV5WObEFpipn7OF64GqfqYhUnZXJ0QwDSx4EWgJFYKcW2DwBVQyBYckkDr5vO1Zw,200,0,ADC,Kaisa,Ashe
KR_7927905095,1640,7DJ9gzGsKegUzZ66BEAu2Slt1-YoE5n3e5IFxv-_o94AysUg65UqXdMNvb_2ybThf22uGqR7q5Xktw,200,0,SUPPORT,Pyke,Blitzcrank
KR_7728566057,1981,REATo4dz34bV4jjQjsaHILdTKXNfAd5-BEOFMtbnQpITROWqsxVIBVsxRT5yAU7LaPyn66JBnfvR0w,100,0,TOP,Darius,Malphite
KR_7728566057,1981,EIiIFszPBYYtKU8a3nGmGtr9JIld7SrGWxD9a5vdvyb9k2NxFDItNjLFJ8KvFUCtHzHP9jCEfnvnug,100,0,JUNGLE,Kayn,Viego
KR_7728566057,1981,FNxf4lFmHLF1acl2XurpMiwfiziB0v5JS5-WPHdGTDJEnrE_1gRO0jMod9pA9Ip7HWiMfvR-8yDI2w,100,0,MID,Akshan,Ahri
