matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7937808202,1108,Ebk1Bxj8ysHe_3teqjPXFzjt_8zO205k0vfd3nVGJbC5BlvF6lPKL0sIB0Epfei82SoL9Gmy-Pt8KQ,100,1,TOP,Malphite,Jayce
KR_7937808202,1108,-6LPPuBFfTl2ghsWZYpVeJutDZcsMwZ6zb26S_wyF8X55rTuJYbsGhz8sQrypRPLl1Sj-FNEWYrxjQ,100,1,JUNGLE,Sylas,Ambessa
KR_7937808202,1108,R7a28ixb3fGjNv6kPsWZKrQxCmIg9acft8IZxm4V364yi3C8pSs590b-QIgBG-K62e9gX1N5fLL3xQ,100,1,MID,Mel,Azir
KR_7937808202,1108,dx98qV40rPNcd3pyuffnybVfRSMVKHwXgJEgguv7boNL4PakDjx2WrsPLXENeg2bUVVnMr-0JTVKWg,100,1,ADC,Ashe,Twitch
KR_7937808202,1108,UsqEfPOMnNpPp638jK3ecW2KzeWoABdjPYM-7PaqYaW2YIRDh528ZwqVca_cnuGpjR3qq4tHT5gkZA,100,1,SUPPORT,Neeko,Yuumi
KR_7937808202,1108,g4GvNyPNdzlowNlx55prRAiubRzeG0n7Z9R1-kD9dIFwYd_ABVYfIMD8XlWYe7_LCD0s0rJxcRHb-w,200,0,TOP,Jayce,Malphite
KR_7937808202,1108,4POVYUQ9iTm-NolypxYTSUCiZgvZseGJwdkFi8Q2i7DOMbBmRsPk8ZMfStjTmqEaq9Ko_CvqjDYPZw,200,0,JUNGLE,Ambessa,Sylas
KR_7937808202,1108,JgFTxlaEV2qbmNkTp7wSVx_9XCquk_4dU4XQiRwKSzoeM3ky-02lRcI2rByD0hbhGayY_7purDceNA,200,0,MID,Azir,Mel
KR_7937808202,1108,cNTV3PwhgDUybnC9zIHu9IvjuqLk3tI5QL3bdH5dE0tMIbXhUUtKLuRBpBZbOiXrbmb7G3BlR1TPCQ,200,0,ADC,Twitch,Ashe
KR_7937808202,1108,wlQ07JbOclnv5WUV0dmqWguOOgwOYc1ZDDDla2MeYbYOvuEiDcsbQAWGgKjt9dOThImYdj1Z6CS9xw,200,0,SUPPORT,Yuumi,Neeko
