matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7880844079,1116,TkY65V9n_6oivpr-_qzfktqiEHvhXqDQ_c86qB3phG-lzPEI_YaTgoF3lh8pXCFM1-3lSVyqwlwKpg,100,0,TOP,Gwen,Tryndamere
KR_7880844079,1116,BcIzkjpJbX1_qucLbsTBStJoY3rr68FGr6VIWULg4cU7kCLMkcL-OlBW-r_PBy9wy-atrnbLeen1gw,100,0,JUNGLE,Trundle,XinZhao
KR_7880844079,1116,rpO1eLmZ8A9spYJFJCkcR69UBk41v3B8IFuBMNxO6KaQqB_CcCWMchQ_KT-mAnBP0I4DuuSo08mPMg,100,0,MID,Yone,Orianna
KR_7880844079,1116,ACflVGM1Ulg47ZYDJRmGVo3znOU4_ivjGXenQKGr7R3THVuJA3kAOu-LEcFlKxcLBo1urvwG50cMyw,100,0,ADC,Yunara,Jinx
KR_7880844079,1116,EDNrGFSVp75BHHn_72zV105NJvfilSUZbK1dVCNu23IyRMxfdeRkOr8HgprHHnBcRL4tvf3P3b-e7A,100,0,SUPPORT,Nami,Lulu
KR_7880844079,1116,PzLB45wFFPlWWhtW3tpUxqPH3ysQQhlB55QOtQfeMg_trDtPzOl2Oj00wVkAosG2zs44lQJXIrNsjg,200,1,TOP,Tryndamere,Gwen
KR_7880844079,1116,8C4W8rzLn8mLzOihtrk-cdN84QQUrmVc1b-NMMeWgY4_jfO8Vn2rTljd1_VIcsVl-taiKdG1rgyCGA,200,1,JUNGLE,XinZhao,Trundle
KR_7880844079,1116,nxOrHEeKlgZ2GmIbUhpQoM0u28JldMZ_enD2LLbdpsvFv89_lyrfO7bNcsHN-t1bOU0Zpv6PuLt0hw,200,1,MID,Orianna,Yone
KR_7880844079,1116,AcfCrWEH01jYKdl9TqsEKSC4aSlQSHNJIt9WIOiaClLPlpDbEYMWjR2lWcmNOJ_nBnQRK5K_t59gQw,200,1,ADC,Jinx,Yunara
KR_7880844079,1116,njzmY2wauPp38gR0xFJD58GnVjwO6PQhEIu6U2LB6MOKecMT7fYSmR8qakiRalBNxnRWqJ-py61R9g,200,1,SUPPORT,Lulu,Nami
KR_7934103202,1624,dv42YCOri1n1VPHSHUGkp3IVE8YCOcuQRHG77xRT2ecWvMPvpZYYhIBM1piunXwU6sQSvC0R0ymX5Q,100,1,TOP,Sylas,Ornn
KR_7934103202,1624,aYFlDlewAUMfcUwy25sgCwJ_4CeIY_9M8ueZgJIxb9D0MCSs6mkt555l-h1L4wuV_GLPjIYlXchxtw,100,1,JUNGLE,Nidalee,Aatrox
KR_7934103202,1624,U5d6a5VGsIoUU67Js-Y_yj779bYMvRPc0N53ishei_hNYg614qXgoQyVjZJmAdXoQv67qpdCJ87fXg,100,1,MID,Smolder,Leblanc
KR_7934103202,1624,EkdJNz2VcI86r9HXUwuw1WT3HpKOAp4vJ2gB9VUylRgePfSFLbtstpSMGON71bz1akqOvsIKodBD-w,100,1,ADC,Aphelios,Caitlyn
KR_7934103202,1624,xij3H6BXoVzUssSpKb8p1wr3feF78wMZJfPlMyiaVkI7O0PA-4Sa5eViVApl5sj82VNacNZH2nZ4bQ,100,1,SUPPORT,Alistar,Braum
KR_7934103202,1624,RyNNUxDfp7FkLMO2-PKp-z9d4DgT9Pq0Kc-5fwWbY5yYGyEtLYCtuKNT-_HRlIP55av3D2ppibiKRw,200,0,TOP,Ornn,Sylas
KR_7934103202,1624,dUzH48N5AnAA1_eI9y1kYWLeoCJ1rsvCF-Ge56RNvOQdAmGEqdzUg7af8NKWO01WFSaDelr0ivHFuw,200,0,JUNGLE,Aatrox,Nidalee
KR_7934103202,1624,PRRj_WyHzqQhAKW91kuArV7h8K7P6ZwzzZIZrbTqrphnGn0crWWXYuCJCWK0p0lnYD44DqZ5UZTJ6Q,200,0,MID,Leblanc,Smolder
KR_7934103202,1624,SIzVnmMHIHuw0vtrJPNBbQuDOOdIzSkkltSaYX5sxPkYEDBxj-4cPR5RG4dmdnBETtFl4OyjzoW1Bw,200,0,ADC,Caitlyn,Aphelios
KR_7934103202,1624,igMZyI8cw9RPfQyxcu5QToBAQIJ4uj0R94RbnvDJwues7hF7Z21vZC5JyoskYPNLvc1fI9tOJUiAzA,200,0,SUPPORT,Braum,Alistar
KR_7937686497,1657,gc9Vmqc0T9g6zuvf1ocMWS62neZRmNb4Lh-RpSdWc8Q0klN86PvRBv67XG7Gcn-59r7VYYHT5e2EPw,100,1,TOP,Rumble,Irelia
KR_7937686497,1657,MRP9sVqLyOdPF-A2ewnz4nFPkRdcCMm0CShP6ibDbfBBUV_FgKKKs3b7C2wVQXbvlEZ1gdQGUeAraA,100,1,JUNGLE,Khazix,Zed
KR_7937686497,1657,T1p3i-a7BEDf1k2P5AexDB1zMZaQXocN8anuCsw2cKD4H03IIGaQ10GCw0As0VjDwdABNYd02QN8mw,100,1,MID,Sylas,AurelionSol
KR_7937686497,1657,lDK_36D4H8lxzAiE2l20vKb-2IrU5IAhS9T4uzB4IBhTG4cWGJ_KeuWGrJn31EeAiLd0675wLsjmLA,100,1,ADC,Ashe,Sivir
KR_7937686497,1657,DoNTcR1nAFzXsJiAA0H08vlZBmSsFxcAhA2BnV0ftVg34SufWQa-P-lEVfK6DXkn_s4oGyyw2rJLhg,100,1,SUPPORT,Karma,Pyke
KR_7937686497,1657,5zptg2q75Yrz3HZJOIUB93kNp0t4dZ441uGnN4-56MdjXlO4zgkQQD9-_YBK29qjAWwZOz0nDYiQ_Q,200,0,TOP,Irelia,Rumble
KR_7937686497,1657,q_7liACL2QSB0uO7y_PgaYQUK2bRLet1aJMIAgUZ2pS56N_huDzQsURCriif_nut5ZAbY83QbRWwjw,200,0,JUNGLE,Zed,Khazix
KR_7937686497,1657,4x1OpJZ90hjXsy-37kjscGiEOtD3CRuvQ9j9tK0n6s2l5t-aN0YuKKfrDROwdgttBmDct5Vp_BXi_A,200,0,MID,AurelionSol,Sylas
KR_7937686497,1657,mfjnmf5LA0u0IsmVdhCO36lKM8bQaiHRuP7yynK0cujFIuQ5pXju9K7noV4L98hbUmRT_VEeV0sx0Q,200,0,ADC,Sivir,Ashe
KR_7937686497,1657,njkmgqMI4-PIlP8eonD7meLFv5Qb4IgGCCEIfkukAi9T2zU4uX72t_B_Ni0koxKbwQHZHgglhE0RPw,200,0,SUPPORT,Pyke,Karma
KR_7915498604,2357,iVaYhZ2_lCsRanewrPS_-tL0Q4QocCs_E3XCHFdvfdNUKUZNIhlmOgnx0hi3DEkPcJJBrd07XtWsIQ,100,1,TOP,Trundle,Aatrox
KR_7915498604,2357,bSnjtzOyTNYltxnHzhPSLNspcVwpLcP_ZjnlJ8nbvRU1qYGYjvZ07bNSe6P5VXHP8F1mdATHBw-9bA,100,1,JUNGLE,Sylas,Qiyana
KR_7915498604,2357,icya5t3bhn7YOsYIa8GJWLr6DIuksMwGt0maT0Gs6tZqdos_e0rrRrXtd2u_sFQbogpQ5k9j6DK7gw,100,1,MID,Yone,Orianna
KR_7915498604,2357,rvHT0tVEVJnpaD6HXJEKZcoQAQEKnZ_t_FaqylZc5acrrGRcw_if9VIP8bm0-N1tNFGs6wGSw30r9Q,100,1,ADC,Aphelios,Jinx
KR_7915498604,2357,8we6yw68BUFYxKnJY7cqWwqo6BAQPCEf0LNt-VUjk_7xWQskkFNltSgE0Dtj2UU-oMcU2w2LiQjUqA,100,1,SUPPORT,Elise,Lulu
KR_7915498604,2357,A-DtdlCXI1WBWE8RF8SInjrkd10xZMGgwRU_A8If7uttoNCvPXA75FPK1hJ_LzVaHHliViWWKY8-gA,200,0,TOP,Aatrox,Trundle
KR_7915498604,2357,w_rn2Bk4qkul-KbOPkXgaZmX7IWs25nPV4PHXHhK0aTw72-i1xEfZIkv8pUANYfo9-Ngihbvw1H1ZQ,200,0,JUNGLE,Qiyana,Sylas
