matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7698725588,1794,rSCEz8BbvKvX00f-kgwi1x9_vGhqOAnBU4FEpARYzSXw1yY1H44-I-UaqHkJfGOML85USbLhhJI7kw,100,1,TOP,Irelia,Yasuo
KR_7698725588,1794,FkL8y0C_nG8DWd4SVIYpVimijHuoJizirC_d3Co1jVM5EJNK55FAuIov63U81ekw2qo4fK9RdT-zSA,100,1,JUNGLE,FiddleSticks,Viego
KR_7698725588,1794,w0bNlQhCefoYqKgaZodp6unTUcwkQoeU5IEOn9z4lGmBNdMvMkYQpPELorVfiCbaF4LZ3vzPykOoTA,100,1,MID,Azir,Orianna
KR_7698725588,1794,vlsSTu4qgcvFNBLLvxwU9zYNPq_FcNSQNflOiyye0DkzCj1c0_co3dR_9WnxTf1v5VKJm7wBQTKVPA,100,1,ADC,Kalista,Samira
KR_7698725588,1794,Ov8l3sJuc1vPAfoBITG0ULHofmYhlRiVSXApSEJpHXvgf4t0wwb0Ro6ymoqbEFoRCN9FwdVhM0wEnA,100,1,SUPPORT,Renata,Nautilus
KR_7698725588,1794,gVkgBrx05mno_WU0PF8XNDkne7SazvSRrCRURkY5FZq65h4NZ0y77M5MafACtVogqW2wa01iDecRBg,200,0,TOP,Yasuo,Irelia
KR_7698725588,1794,FRBHDL0dfCC0sFPzLDOe80Z71j3Pb-cvEtltWyppE0rrDEzcp9kndJNFPOoBiAdTsvy75Q_-ZUfphA,200,0,JUNGLE,Viego,FiddleSticks
KR_7698725588,1794,ucpIJTTf25Rk-DX5syCVYUXbqqtvFVjYfgQOhcnE1OwJYtydXV15wL6ADc5T2arxr7-x2GsPaJHz0Q,200,0,MID,Orianna,Azir
KR_7698725588,1794,avBK4u5e6yeKR3P3AvEg99mI-wfkHO17hgrdIKL1HT9HqJI7UkZOW2vd3V-V06zAPmVyGMkL1Rfmqg,200,0,ADC,Samira,Kalista
KR_7698725588,1794,930Gt6v816O4F2RJkt_3UvPjNo5VXIXWvAeAw_t624T6zbyIG66UbiI3rxewHEbsNqP_fQ6ks91ohQ,200,0,SUPPORT,Nautilus,Renata
KR_7884694215,1125,zlEWAjqjPiv2k3ThitNV4V0CFEv8-wn5FY8kYxbxXxP_RWpjYeHVHsYf05OhFZoFwkPpFBhRxBlAKQ,100,1,TOP,Sion,Mordekaiser
KR_7884694215,1125,25NYHTkiHMFXGpUQr_FYZV41G2h-8LffZEPO2mINn96iXUTVHC6hWBeMR-Q78HG7FsbSrzxwVCmDmQ,100,1,JUNGLE,Sylas,Viego
KR_7884694215,1125,BURzy3jVQJlJ8osATuAiU3REZdG2aEqHIEmjN7tLcyMEkw9Njs39vIkVMxMDTxl99ZTT65fe5RFP4Q,100,1,MID,Akshan,Yasuo
KR_7884694215,1125,UFkb11CKS2kxw2JdLguJtCmgjurleavN5FyFcl4zhD5SyPwV1BYWUCS3LQE5351QllW4PLfalkc60A,100,1,ADC,Jhin,Kaisa
KR_7884694215,1125,CV9MFQIS9CPydqSR6XjRb--51VV9W5ijPdYuimUGP5xlPy3vLY9ndvFGY84GeOadGCxMhzm4vPcmCQ,100,1,SUPPORT,Zilean,Thresh
KR_7884694215,1125,RKLMPgNN_PoDTnysP4LCpyinAG0vLt0ic6-agZgkJ6ddG88lGMQzsz4rQh2hBMXpI0f-WhlmwxBotw,200,0,TOP,Mordekaiser,Sion
KR_7884694215,1125,y0NTQM2zCTcH7DUxXfc8VNW4O7AvW3Nw0orq_ngLzYE9BGwgHcHqY0RauQQ4dGOlcmB3BTtTRSKbvg,200,0,JUNGLE,Viego,Sylas
KR_7884694215,1125,6VyFc0mH9YeUEqM2aphhJQdTFBkbujiZ1yM1QFJk3WM6scxgp3FXcS6tQ0mzwQaRXwU1Hn-ShT1E-w,200,0,MID,Yasuo,Akshan
KR_7884694215,1125,4At45ZIjif8szXyhPs19FUNuvbbhnudp3iR9ZfiU8NwRwCFpm6mbxF62ch-NMESkAhKzDuT2Labnig,200,0,ADC,Kaisa,Jhin
KR_7884694215,1125,EHpvieaBLLfAgdGDorLwauDUITqwGJ5qBr5M9MsSvNAa2PpZqsYsXEHEc0OROVPZc6Plj37gf_7tRw,200,0,SUPPORT,Thresh,Zilean
KR_7939243343,1722,CqOG8uieIYPIN5ZHQEL8xNFyrN0FQ-hfT2huJvGZuOsa8Hl8UjOhv-iJwf9XRWHRATYE87emYsR40w,100,0,TOP,Udyr,Kennen
KR_7939243343,1722,JkxsY9XeJVFaOSNV2QhB9rm5wJmUxfvuREYyn3m0MmpvjQ9Oyqx55uWUHYbdGo9LJsPF4s5EOmyNsg,100,0,JUNGLE,Nocturne,Zed
KR_7939243343,1722,H9_4UaaHMK1JMvUuIrEW0YmXwhbjDu9CAFty8oJw9BENUfqpqfA3pmpcz9s9hGFMfY_1sGwCYpWybw,100,0,MID,Vex,Qiyana
KR_7939243343,1722,Z17fcMunQ_60-4X9FVOQdmg40BVZd5PK8FpxAYFusFfD-J2RnjZsMFtPDNlnKpmpCK8cB8lLcQ61ww,100,0,ADC,Vayne,Jhin
KR_7939243343,1722,VZZHwWskm5dyntoUHrpWKk3yeyDZ27dC25wbC1ob-LcK01Seg5ilbpV-TQcOV5j9_6MOO-vQG85ZqA,100,0,SUPPORT,Lulu,Heimerdinger
KR_7939243343,1722,4tjVnuplPCwGTHEQbbK8EZsM7dZRnNJ7z4ZmwFNPRfMO7rPSHsqf43AyadmLKDjGH-oG2o0_e6VUTg,200,1,TOP,Kennen,Udyr
KR_7939243343,1722,wn7XOasH3Wcj5EC02HfyrnfJHoZLoECXdX8MvHIW4c6-_0xzVCY35yUUK-qMFcZT8SOA4Esm4qfdwQ,200,1,JUNGLE,Zed,Nocturne
KR_7939243343,1722,8UC4So6eIciGi7LYklmILct7KC8AhOql3e8B552lOWVO614E4s4oJNxWYDbUY2DpgMcFp7873kA36Q,200,1,MID,Qiyana,Vex
KR_7939243343,1722,SNCyKtSQWeKeh6U3RHraqfi573qC2_pD-cFgdOvzJc3TvESS6lnBQNpigsFEPO_pgr8hYIBHawLTaA,200,1,ADC,Jhin,Vayne
KR_7939243343,1722,3ZVhz61x7nrbNLArrxlbgNM0QdJ04yvRz-6gaCh2VFmtiK_kOW2aNYAzwMS_cXhrNE6sUPgfunOkaw,200,1,SUPPORT,Heimerdinger,Lulu
KR_7748328677,1764,qYpLHSKNuzgeLNFVexfl1uXmCdn5C-ERRMNM9Zp0oTLdE7HDJYGDewPG09DHCPjhKV7NLVMO70bIFA,100,1,TOP,Fiora,Yone
KR_7748328677,1764,WVTEgciEg5EpAmt83dwe8F_1OSlt_8u_nps137ZX0iNin0RQieHkQl5LCZu198bRqwDqn9WGCaaPPg,100,1,JUNGLE,MonkeyKing,MasterYi
KR_7748328677,1764,T_H6u08lvw6hLX5Ven3OQHMLfLmerT08DMmgUajIsB3h3GdeB_FHhVyq36ANiy-sSXU_kgZ7Fi8tpw,100,1,MID,TwistedFate,Hwei
KR_7748328677,1764,l7Pq60dnx2H7I7DULWcpqYEYruvPqRV0bSqJXfGzDpWT4PhA8WzbKbiBAOBZW3L4yKPC2BzTti9A9w,100,1,ADC,Jhin,Aphelios
KR_7748328677,1764,4txzz52MF435c3gQzW7ZVGMNx-MfvGdrd9-pgGukAYh-TlnO9R7a_dvvyc43jtsTMnMPquYIlVVSgA,100,1,SUPPORT,Kennen,Milio
KR_7748328677,1764,eKTnpmEbzk2VgKOnMmkvDsjjLRlXseg4qGY0HdZatJJjEHQ9EvcGM5xyyQvF0QzanV8Ag4Z80B1u-w,200,0,TOP,Yone,Fiora
KR_7748328677,1764,vLhy2aD-85JF1eaLxlvOQXKu5VmSJvky3ehjvToCmKONIbVOWHgYtSDGrJtkNB7sVPhJ0Taj33RHNw,200,0,JUNGLE,MasterYi,MonkeyKing
KR_7748328677,1764,9kFSKTxb1Ss0J68kx2m26kxafEuR1dKPnJ-Yn8AZLw60aMBzNdjWXEts7pikFF6ZADUhXZTKRgIzwQ,200,0,MID,Hwei,TwistedFate
KR_7748328677,1764,P6W5UKBU53qC-v2QVTpmp6x1H2IFNRB_aMuj4qooQk8v4JCGF5KnSXHUMNIa98f10yPW9i5l6HDl1w,200,0,ADC,Aphelios,Jhin
KR_7748328677,1764,Wuh4tM3BvbSO18lTlFV5GlHBfrSIXf5h5n75iu2isg0f7ymh45gYkfkoReIHU8S7pIs_xaF_ZxrcfQ,200,0,SUPPORT,Milio,Kennen
KR_7843465630,1623,hYrnaVBkKKvAUoZvxq0rCLw2_FyT_n_C8SGdIIzqLGJ2FJn27u9cKrCWLi6Ar354htjmlUfaT55fOg,100,1,TOP,Kayle,Aatrox
KR_7843465630,1623,O7nfK0CbTsRgTR9-fvBBwsCwlkidpj5yJBvmwHcciLqyQYoJuzxQmtYIczDQa3vo0t50RAbpxhPu2A,100,1,JUNGLE,Diana,Morgana
KR_7843465630,1623,qhcOZV1O0w2s5QMIpIyMrVVSRFEoA5uFBLKtNaB1_wMr2rRql40ocQmnthOZk7IdJNh8AUsDgrQoDw,100,1,MID,Qiyana,Zoe
KR_7843465630,1623,bnshwPjCXP6qAClyNDgo8S4ZAy0NZcOTv4GrUzbqaYAV2Ze_dTFzQGy47hz-O_0kULOlzLGDYOE3Pg,100,1,ADC,Aphelios,Jinx
KR_7843465630,1623,1BI8zwmZOQqtEqsR7vAe5XQ4QZjg29OpEj9f40_0kd14EyAhS48KwPzaoWqzSDeGpPaUnTjhP-9TXQ,100,1,SUPPORT,Milio,Nautilus
KR_7843465630,1623,a55mdgrENnMDqHlOdfFGC1JyM3ghjfQgwPilfApDwnN6OpE_VelGTRZkQdAd4R0VuKv9QAP2M5FzXA,200,0,TOP,Aatrox,Kayle
KR_7843465630,1623,q9W3qU0lcg3boDBggLCID9rf7rZuO7A1gmcMzfWnpsQl_WCAFNriJYkrfYZn6tjVBONWfD8ng-JRMw,200,0,JUNGLE,Morgana,Diana
KR_7843465630,1623,cz3RnAsx6MVJ8QwxrLuDh2G1EKSy7o_PWnm_JtYNfixOe_jpKQUrbWzp5Fc7wLML0Z51fCb-P8DZ4g,200,0,MID,Zoe,Qiyana
KR_7843465630,1623,XHMmH7l97N0UZTqA9ZreX6GDHda-ROnvhbEqViG5T_LeihgKgOPA0uJVDtjR9XRpnHFAi3OuwQLlvg,200,0,ADC,Jinx,Aphelios
KR_7843465630,1623,WEZNgrtGGJmNCaQ-CJpk5AU9MLrPWRN0xk0cjSJoi2FGtQZIHYRIixIzbtA5aWM5sKUge_bkr6cNOQ,200,0,SUPPORT,Nautilus,Milio
