matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7523966857,1748,CHgpXZjzRchgs5vlRtiVrFT7EBdXfzq7PjweZ7sF-LRYTnITlkWB9ndX0Ra4HDigWPkG4ZctQVn8eg,100,0,TOP,Riven,Jayce
KR_7523966857,1748,TOVZPsEKD_L1f5C3x4X8sDXf2SuozP6MPiJVU39Z8ANFJMJd-uPoL8uACgbP7OkiG_E0g83ykjrzRA,100,0,JUNGLE,Vi,LeeSin
KR_7523966857,1748,YS7GRBOIeXBE-Kmqbgg7KwsgpINJCcBzv5KGgtgzXRxvGCbyHVZ3jO8BP2i_8a_JG9f0H4bVlbC5vQ,100,0,MID,Talon,Orianna
KR_7523966857,1748,SgLqWx9M0Sos6N_DHfcADHrZ--o0YDB6y34B16XUf3-Z5RNC2wz9kRpsEFBCRYxDal9A3PJ7yC3s8g,100,0,ADC,Lulu,Jinx
KR_7523966857,1748,i4q36kQoMp8Xo0Pzl9VxS5CJ3P084rex76DsZifm1Qi3CdFXGQ3asLBTlP2iCJ1EdU4DEf2pM4DuNA,100,0,SUPPORT,Ezreal,Thresh
KR_7523966857,1748,KnUrYgoo-OitWODdN8_xpoijHGwjUWfTJX1p24a1C0sdDIY34XoQOny11TqFuNzFPlbxD6dc8XoTFw,200,1,TOP,Jayce,Riven
KR_7523966857,1748,XjU-nuatd-NCMiJRy2IU5EWoY1HHjIB0JVy4XmvtfyN7OSSLMKieG53vrqX0K7QSu3-zeo6F28Ymow,200,1,JUNGLE,LeeSin,Vi
KR_7523966857,1748,cNxvkAJarmYvS2OKabP3OYNXWAcRBBTDsOE1A4_XI_DMT3AioRKANJedNlNz8Yd74e9SxtnlHXCAPA,200,1,MID,Orianna,Talon
KR_7523966857,1748,E3o1RP9iX4lbHW3wigm74-LGpJFtPECjDHZZyBlMuN-or6c2nO1wUvUVQ8wCCM34RPD__DVJYJm68w,200,1,ADC,Jinx,Lulu
KR_7523966857,1748,JnBumJP4A6ZtkObt4AFkoTnHBJOV5gnS3hjfVk-6yGfpiLuMhJvwl_fQNIEo_psRI2IUQbIzbm8Z_Q,200,1,SUPPORT,Thresh,Ezreal
KR_7637344364,911,tEVM0uc0XJbtW4jO_2f5D729Jrkdndu_F-lmLDSR5udb5SHgo1a4Ps5RTpUX5kYGku0WwWmpGRGT0w,100,0,TOP,Tryndamere,Kayle
KR_7637344364,911,EY7aeePCtUKNc3bspBYs5RFuDTz460r0ortYWUgj4IUGxC5lOGl2_UKv5hWetg5WcrAMZujSd9LKFA,100,0,JUNGLE,MonkeyKing,Nocturne
KR_7637344364,911,SHNeiQgLr9vTMdTMvHb-RM6FhikB7gX3oMYpzww7iem0zQlnjRg5jVq_LNIxNVNL_esMxzYGj27e7A,100,0,MID,Malzahar,Xerath
KR_7637344364,911,i0JwSsGSXwH20bIVGSd1PbO-qLB0rjkS3PB_EPYNSwSj7gqsA8rpI5UamWG_wQfK2QnUVIGyEdVXdA,100,0,ADC,Kaisa,Lucian
KR_7637344364,911,f-oo7kOmM8KlCekAxzuu0u3cAgYwnM7I2PgJv5cSP9jZPj_y6uJTxksL6EydUl5TR19yUnGcfkOlHQ,100,0,SUPPORT,Brand,Morgana
KR_7637344364,911,yMlRxi8umwuW_PlfG7IKisV2894qZJ6Epd9LXfLo5rr9_UAiaem0UrvllNfx_rk12bZfn6s_2ZuKHw,200,1,TOP,Kayle,Tryndamere
KR_7637344364,911,nWv9O2yp8dkA2NSUog-ftGwtwVk-WVy71NwrpjnDurPCMvYIuGntPsGJxsP0ptQnrVmhdu5gSqz2-A,200,1,JUNGLE,Nocturne,MonkeyKing
KR_7637344364,911,0qQ-UrYDJ8TKtpOaJ3h3L3MLD1YE-AfPn82OooO3DmbJKb9GpLarJRL0NWbLsn1D1TQI2Y10yqdveA,200,1,MID,Xerath,Malzahar
KR_7637344364,911,xHEZ39y4hSVVeoQ4Z6SQNe_yoEwU6MYfiuglI6YSJwNH0YYRT9LdM16mEWuDQ5hLG0ixLQ6_uY1Ztw,200,1,ADC,Lucian,Kaisa
KR_7637344364,911,Jklvn8DyckVg5-lc83qb3EFJMnw8VgIGtGWV7dtd1abcwu0kBY5WHOLsJIyjIhB0zHnYTFwRP0oVtQ,200,1,SUPPORT,Morgana,Brand
KR_7938660346,1159,LW2M0XrAOJsaxTfPYQaVR7xUepR1YSd_fTEnSRlLMxi_qfvgqnoaC3g-0TL9D4pggWYHJ3RgKDx3Zg,100,1,TOP,Jayce,Cassiopeia
KR_7938660346,1159,NFvGC8YwNP0-EjSyEbtLJmPuuMyT6qryLlVb348wzclK11CFul6o0C7GSH-SxvZaXnOsdhnYPCUvug,100,1,JUNGLE,Talon,Vi
KR_7938660346,1159,rBB831Z48WgFNrJ2K_ElXOlh2YGsuYtQQQFxSJZE6Qi7iIyiH1B9J0aBu9xiQpyKfRTlUsiVZuGLBQ,100,1,MID,Orianna,Ahri
KR_7938660346,1159,Q-qODrho23OiZk5av3Rop1IK65JRMDA0p5_kCi8cNXxHnnWKG7sn9jyw2Fz4uSD5omm8LH6CdV4I5Q,100,1,ADC,Jhin,Jinx
KR_7938660346,1159,N4dFN7yCHNV8IC_NMM8JHSgTCrLvNA7uQ28Yy7YQKrmEErCB-pyFDKLOzwt21shv7c6dfYZjRoabkg,100,1,SUPPORT,Bard,Lulu
KR_7938660346,1159,sB4vKcJp_ngIUs0rUkw1Tvg2Phu4JhL3z0r1yyDWHJVHobWpQyVF1WDetFLryvKTuP8mRULSELSbZw,200,0,TOP,Cassiopeia,Jayce
KR_7938660346,1159,SMC3cUDSMLZS5lJBpO82jxm7YhhRFOm-18HsraHliYQOJdpXWJQ1wbC2ORBfkoNO3_URfr69uVfpfQ,200,0,JUNGLE,Vi,Talon
KR_7938660346,1159,DQDI0diGwNly87RHvcZ5GzfWY-qDMJvXrobRsaisvduUpA6neljfmS7cxw_5hDBYEn_rEFmJl90gLA,200,0,MID,Ahri,Orianna
KR_7938660346,1159,CcmI_KWndlcBVkcQKMfaN3GpLj2JJxQx8gjsiOEajjBz7iu5t40Qjbn2EIPWjhATTkBhZWdPhkdKXA,200,0,ADC,Jinx,Jhin
KR_7938660346,1159,2wrRBPtckqMvnpx4uKZD7tjStbHmJh_iydQkycZXL02S89uq7TNFIlsB8yO2TpC_cF8FxPhv5u5gBg,200,0,SUPPORT,Lulu,Bard
KR_7835461973,916,YdcRw1bJBUK-L9K3QaMyJFWbwy7HwDim30vneqGKFc9SrvuizABAA7_9KxpjXpKjq8-sjh9rLFDlCQ,100,1,TOP,Sion,Pantheon
KR_7835461973,916,erjzPQ64zuiVbckhOadGoYlPLi7bA-gW7nCqUPg2TLFngu32ZK7lWbQJXaeJKhyGpuUgVw7JYmgqAA,100,1,JUNGLE,Zyra,Sylas
KR_7835461973,916,TrzSLuHj_vjJ2ZYuLFP2P32qGHwzNErCT4bXW1oHvo-KZUidnqN2PNAhikGc6_xWmNXK_-JJPRJNuA,100,1,MID,Akali,Azir
KR_7835461973,916,xdvvlLQoNi8lHNyte6w6pdrP_PHWc0qVmOhni39PjbkD0WSn-E9PYaaQ3awrvnuZZNY6po4UuFa3Ww,100,1,ADC,Jhin,Caitlyn
KR_7835461973,916,GFrEZUesxNYVBKO_J8MnYdMzQhEWTJHVUcLqa3lxQF_IRM3s4_d8SzMAmUSP_jgKTYtuubNGHkWSmg,100,1,SUPPORT,Neeko,Lux
KR_7835461973,916,n1MB2bX0sYT2GCD4yHE0iVWEalGvbvkxq9EXMDA01GIoaWoSxsmh3yBtCKULH_sxZacPFhzNjhC_NA,200,0,TOP,Pantheon,Sion
KR_7835461973,916,E_Zfh3PBJwWAxJJc8jzmb9i2O64KLAfFyufEHbcmoLc9Ek6jZTS48FT11N3HmYQlY-bqOK2pDIk9lw,200,0,JUNGLE,Sylas,Zyra
KR_7835461973,916,LEqiYwhIaUZPGlD7A-16swybW8vrBjm_5YJmnKp3HvcTqFChYXAlqJ3nywr1p_tdHuaBPaQCeu1cUw,200,0,MID,Azir,Akali
KR_7835461973,916,_Avnawvy6i4wt1QkXKqcYGRrX_e1_P1dHjcC2ZUU_6NTZEDTnI4o_3MmwY4dl6662zfFl6wEjLLV4Q,200,0,ADC,Caitlyn,Jhin
KR_7835461973,916,gCadzY1DP41QSHF26OT9g2AIlch5D8N-GLeDWfwUOqOXsu3izoQIz1DDnJAhdBxxpSGmrOzDIf6qig,200,0,SUPPORT,Lux,Neeko
KR_7940066520,1807,fch2R6q5yWxf6fIODEEErOYiFfaqC1kTeA_8pDjgF-coHUVwrAWy1_CGkeeKNw48mosHZV-9KJ2riA,100,0,TOP,Zaahen,Warwick
KR_7940066520,1807,BLzHlA6E9chRnKXBG3B8IMBcO0xe62dq1lf5FdX5WFxoLjXIL04Aggr7FrVkUtQNPsax_efOdc6NzA,100,0,JUNGLE,LeeSin,Lillia
KR_7940066520,1807,9WwvANJ2vysur3bWaWO1jvu7sNvQ0_5HnHo31EtghkPMPXg6HD5r-xCF2r1Muk9UOxDNoQvS0rMPiw,100,0,MID,Syndra,Katarina
KR_7940066520,1807,m1LBXLQxh09eAihklTbOavAzEAUrcmck7Uvq0BaPCRpFJAorOKXJbhV8YInLuHfeqCYi_GG--lX2-w,100,0,ADC,Tristana,MissFortune
KR_7940066520,1807,Hw4vFgIVfuckHjCeBA09MBF9vEBV7fXnefGPZRB7iI-wCGSs9wnnmWvQVKf8xuDX5I5eyTtCkxy_VQ,100,0,SUPPORT,Rell,Bard
KR_7940066520,1807,AlDXaW4ls4JrQ68OSrG4dbcsTVKGVd8I_4232qq6bEfhVOz75ZQZ-Hs0nhMeuz4mEWZYabsHsLU2Hg,200,1,TOP,Warwick,Zaahen
KR_7940066520,1807,AfR02bqNFd53Qf5QbcFdvFeZoiji-uMzFAHg3zKQCPGEnHiwFa8FtkUIdXUkFhQu09iR684VMGaudg,200,1,JUNGLE,Lillia,LeeSin
KR_7940066520,1807,lYc9ppc6Brj0w_sL6WY0tL57EcRKs8-OiY7d22GD_dSrJzHDqHrBB1J6fgWBcJl82fPguszyLKd3Hg,200,1,MID,Katarina,Syndra
KR_7940066520,1807,ehAf-6IxVLIABKpij5sB_w-EP7SIMqtJ4oLuuUt2-mNZZowTF3hjOrQb07K3tT1CUGXh5C7LhbNyZA,200,1,ADC,MissFortune,Tristana
