matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7935006353,1685,Xah9A7cMVkMhPeXurqSePW9sHbVafjQFlvox_Vz7ZiIzggHPMmpVR6W4o69-FWkWKGjVOhvX39K0tg,100,0,TOP,Illaoi,Heimerdinger
KR_7935006353,1685,RW5U3EHr4mqydmAqW36_gF8l2AJSK7pByf_rBxn0ZhqDvW-HdS80A7ub_OK3WWdwslikvdzPtzPPDw,100,0,JUNGLE,Nocturne,Zac
KR_7935006353,1685,8EZJzXpuHripygaQzGpwGzywi8NI2SnctlWyBtDyNJ63yD4V5lf97X6SNM2eLSbtRomaP_vJekh96A,100,0,MID,Vex,Veigar
KR_7935006353,1685,JxCaQAG0NcTanTz8yQ76UmM3Ci0Bf03KOd04ir9rehsA8L_QC2eJn5SEHzj4CdJZahlpito3k4O9fw,100,0,ADC,MissFortune,Samira
KR_7935006353,1685,n-cERpx9uljIKyifBYmke7HYpP54AOOAZWeYm07iinxEtl5lOSCYP0xdlt9uzVZTqh4RggeMGfSmnA,100,0,SUPPORT,AurelionSol,Rell
KR_7935006353,1685,m7XI_n-bGpOf_WiXTojEopvKbF7W0f8rssD7f5-5i1h9b6tcv1dpmXyedA8AKj039CdartO_FsrXmg,200,1,TOP,Heimerdinger,Illaoi
KR_7935006353,1685,gkyDgy-NXUC86qFlffzr36YFWXz9Dxrj9rhDCejbsV_IsXVCZZzbgUr5r6fOAp4Y3AeG0FHNNS884w,200,1,JUNGLE,Zac,Nocturne
KR_7935006353,1685,0SdqfbT4dxnCuIUlyGnJ5vYI80giAqUsxcrDgbEkIvk0-S24WtglF2neNVoJNvUARYJWCgwQWWJBZQ,200,1,MID,Veigar,Vex
KR_7935006353,1685,E-pMRaqmkJzeq1Bgb_xU08XIybKk_y_4vZIFzqZJktteWMcfLnYdoNvzQyYgEwGTRkcNV6kUJys6fQ,200,1,ADC,Samira,MissFortune
KR_7935006353,1685,9tgq71I1I7h2Z9MOGnOE53oRfB9wB98DMMWL4ceFwhsmbPiKghPnmfWaDH7DR4iMU6_Y40mRiEN2ww,200,1,SUPPORT,Rell,AurelionSol
KR_7549210821,1476,dMwpQYWtZclfCNIeFCnB_73hF1Mi5VKdkgDKfpApDY8PCjyLZAsfnPGp-a1zWJRQcEb7AApidAICAw,100,1,TOP,Volibear,Fiora
