matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7928880458,917,C2BKShzc_Uuob1nJKcemNnogW-gre34IrUUeVKMF_bFQT-WQnPIDukBF91-Ol074bVF4Wv78CBh6Fg,100,1,TOP,Darius,Zaahen
KR_7928880458,917,U_KdrD9QAbbk7dHp1BBJWg5okFtWEYvhc1jOpBI9y40J3i8mTTo177kBO_i3Il2qbLRu2vpLtULplQ,100,1,JUNGLE,Elise,Nidalee
KR_7928880458,917,-8-xlXHCv_rGLPI9snE4JfXbq3E9wZiQATfno7Jm9UQjAQR6-TsorvRl-Z62y51Yc8cuHUUJw6-W2A,100,1,MID,Syndra,Mel
KR_7928880458,917,uwyIiRlAvuObiLkHZ2xPoY-GhW7M6InaqAK33lyP4PTzJuemK15jsgDntfOTOWQSJOc3DJucxq4IzQ,100,1,ADC,Lucian,Ashe
KR_7928880458,917,6nL8UhUwCFRIVON0Z25cQI58CJdxX11H8uSvU_yK3PN7_30GK-XIytCEZHabapUTQrBT90da8gqYkA,100,1,SUPPORT,Soraka,Bard
KR_7928880458,917,SlOJLmp8oZ4KrVM8uRIxQxczSbI8OXmT3-pBcrze0bwh3TDq-fdbLbVhTwqYWB7BKg1z2r_BfWp5kg,200,0,TOP,Zaahen,Darius
KR_7928880458,917,fvaNW5ghLNTd9r4yhqiqjexfD0M9ZCbipe4bM3qbwy67n3kvLHCZL42MYCPVkZ0hlyjIvhi_WGfvvA,200,0,JUNGLE,Nidalee,Elise
KR_7928880458,917,vdauDABu6YLqvs3VnTJkw2L9uAvdV60vDKDNbJOhF0zKftF3zkrRvko_eZ1DTXN2HMh8J69RPYIsiQ,200,0,MID,Mel,Syndra
KR_7928880458,917,uaMSRq22fIf6bBCz7ygAWd7cK6A-LfY-jkN9Kwlx2k8Gh7p4Et3oyBKYX8-URdKoW0w31z6w8M8QOw,200,0,ADC,Ashe,Lucian
KR_7928880458,917,MWnzTQ4iTQK8Y5BW7UBtZ7GxN29ME3aAWDcLr0Eay1Q0XLkGawUz7wRSkk7F1C_OAuW8HOWaZWNFzg,200,0,SUPPORT,Bard,Soraka
KR_7928319594,2254,aVWpJyEYke6sGXbreeYD7RrelqKBR1Cv73L7o5y6YbgrkkqhN7IjwVji0Ka449oE0bDwyzG3zu7uJw,100,0,TOP,Zaahen,Teemo
KR_7928319594,2254,fScvyGo5DrYsvAnvMH-TY4_QUtZAOFqiUXznwavjKI5YA7pSgLqArTh-HyVp53qtnYn0O9KlaKTznQ,100,0,JUNGLE,Olaf,Nidalee
KR_7928319594,2254,emp1t0nljyMxzcEVRlxHgdZEF7Gf9pV2bHvK2LqBilpUHQWe3l6r_NHhlAslLt3eOfCmz09FKjFNFw,100,0,MID,Akali,Zed
KR_7928319594,2254,u03TyJ-YxGjpz2HByASbrZiipGT3lkUI3G5xT6MJ-lnSNzB_PdJhTxLWG-dMc_pjlMEbPTRv41o3iA,100,0,ADC,Kaisa,Tristana
KR_7928319594,2254,aeu_Haw6ka0IcGBGUh3Gr0N0ffZKJMUkyyDC0k_KgZlczCrNU0QCaydGLiLKfTdNJWZJ_pAA_vfzlA,100,0,SUPPORT,Naafiri,Galio
KR_7928319594,2254,kXyxTkAOrDV3RO86HodfWXzRpRnabpbZgmD8fn2u-mpMxyeNQuaRuz8e0yW7pUv6w7zOU3fMNNlauA,200,1,TOP,Teemo,Zaahen
KR_7928319594,2254,fvaNW5ghLNTd9r4yhqiqjexfD0M9ZCbipe4bM3qbwy67n3kvLHCZL42MYCPVkZ0hlyjIvhi_WGfvvA,200,1,JUNGLE,Nidalee,Olaf
KR_7928319594,2254,faQ5W_9SQuLCvOA4I05p1QGW_qDf-BmQNK412anb3EEY2aheh9Q0e7f2tSVUUWljIoKHKurlpdKajw,200,1,MID,Zed,Akali
KR_7928319594,2254,anj3knk1NoMVpvAE3uH4R4qJKFLVc9biHFzaZHvubbOYXaz7BkOSDdymGF49NZVXq98S2Vix83e5tw,200,1,ADC,Tristana,Kaisa
KR_7928319594,2254,3QA3MxdO4PHYV47I8p6gBBT4Vq-NZF5t3SZg3B1u88vn9HK5P112HraWB8Idl_2cadu1ScYfetxhVA,200,1,SUPPORT,Galio,Naafiri
KR_7934319472,1619,OhPcggPX5KeUnKJ0FFolD-2NsSgC0YiXe8EXrnMRYXXylTv9SjzQyWRC-E63qdELhsXZhTyK_oki8g,100,0,TOP,Fiora,Malphite
KR_7934319472,1619,BP3A8ABsBZ-puRr8OKmwZkWbmgKCdSl7wfQ03uvlRg2ztcXCUsP7QWSj50W5CEpp5xxbrho--h4H1A,100,0,JUNGLE,Ambessa,Briar
KR_7934319472,1619,gjB7K91uoR95SAs5pLBvmkQuCo9ngkqdu5a7RWnE-2i9M89lD_JxxQxJB1bMlPo3vjIndzILaipm7A,100,0,MID,Diana,Vladimir
KR_7934319472,1619,tK9Is4BwQIyUW2QeAefiGtj6UmcD6OHNei9iln6S1m52_NNsQ9FJn4_B12go7FgSsnizoNX0bHd5yw,100,0,ADC,Mel,Ashe
KR_7934319472,1619,CjyDBZ5ta01bTPdAK25uBymAt5l8Xp2_-_SdWNjDCrD-_Y0mHlPfKf_nl-Qt2rz8Hq986gfpgNne2A,100,0,SUPPORT,Teemo,Blitzcrank
KR_7934319472,1619,ubZ0_LwMSMcU3tIKw1n7azW23K-HRTjEMmY_iDyRodWIQD6RVbKrxnjyiuMaJm_s1v_bLvou2v3WkA,200,1,TOP,Malphite,Fiora
KR_7934319472,1619,c0NdRVDj1DyeyxiN41pfud3TfYy07OzjXzu2DZFQ7McToEWWTMOpx3zBnfb2DZKLEE08ePB7kVWDuQ,200,1,JUNGLE,Briar,Ambessa
KR_7934319472,1619,iZ4NQwEj8qk9OkoffTvRbqhguaCR4_eylYQ1avD4PniQbVO_eeKJC4uQ1AgM9VfYSGgteicEiUf8YQ,200,1,MID,Vladimir,Diana
KR_7934319472,1619,ThUf88qT8iseQA-FvO64Ej4-tN3yPPQSc1MmGWa0lefefEhoEawRG7mq71RlWmXBloaIlirA9MSUxg,200,1,ADC,Ashe,Mel
KR_7934319472,1619,30IUysDQoOn4iX9lMqU4yDMvWpoonHfMMFhTaeTEUUpL0vs281HIJ7e8b_V3HAQ41JeOd5w_eZwq2A,200,1,SUPPORT,Blitzcrank,Teemo
KR_7870826305,1063,a6cDvOMUYYz4iwoEiZajHXJieQXMzMGZakxq-1TyKbbcFh0nlBfvpEMc4UlLU4EwQi68Jgy5ujbiwA,100,1,TOP,Akali,Garen
KR_7870826305,1063,XQuYqse8KznlVnQF2Qeyqq7GF1CceUWUUb1UuSm_zx-BI44efegGdYWDNFFhs3q1r56c64Lek4gzxA,100,1,JUNGLE,JarvanIV,Teemo
KR_7870826305,1063,u2MS0Hnrdx3W1FrPlnjSnRhcPId1JqJ87gsO18xWV0PBqfjqOzW8-ee4ULfa0VFQqJMdQkJH8L7_cg,100,1,MID,Smolder,Malzahar
KR_7870826305,1063,_FX3pTImKB163X6-I8gN_ZsNJLICKzKyJW7_bsbUArpdRmqBLje55l3ngdc3tZ9XDeqIf0AE5THnZw,100,1,ADC,Sivir,Tristana
KR_7870826305,1063,VpflKI6vlCXwhfHvIhhnTJ0N1G2SggvLidz-Um-2dcq4FbSdEtVH_0AVY1E7HtZPdEkiAAeQ5pjYVA,100,1,SUPPORT,Sylas,Seraphine
KR_7870826305,1063,YHTWOV-nBATcZZsugQQ-OhSf8r2Ex-f4oZL2hKX4RCoR3Fn_Or7Enxg_vItQIqcrKgBT3pZDddsHTA,200,0,TOP,Garen,Akali
KR_7870826305,1063,qXo9Ep1Hu4kjgNYw0lEwx1bKMJQaWTT_CnwPG7Qe94QkSEYq2zrjUw8eedb6UCgis5ja1hc_9zVXfA,200,0,JUNGLE,Teemo,JarvanIV
KR_7870826305,1063,vVl2innwAg5fN4xPqIQmuY5JxnYanyLRqW5DKrfT1eJr9kyZN6ElnWx6l2-r936FNnEZLcInXAY0rg,200,0,MID,Malzahar,Smolder
KR_7870826305,1063,YEs7Y3y2INuD4uf4Yc1QVm_CoJPkJDxmVVTyiGxY32OXE2bVG8q62MXlqROWTJBrssEGoAmHlvSdIg,200,0,ADC,Tristana,Sivir
KR_7870826305,1063,WnsSJAROyUQQHjORVhRvU8uWjt4yEJJwd5qom-n9edgwBlS1lkBBv-8F0SXP_SSczwEJnJ781kuilg,200,0,SUPPORT,Seraphine,Sylas
KR_7840526950,2970,WMDZ0k7C-JCPxRivwBaub-zfutUNeOIFz2tHpSiAKikA9z8khC2D3VGEQ9qfmmKieJsnyOBhFkCB2A,100,0,TOP,Nautilus,Volibear
KR_7840526950,2970,QASIpnvfLT8ZnSXkmDUAFNrjyprzMXCnrjBDVftP636uAln8RRBi3CIenSjJzCXkTSrkDPaOT1tZiw,100,0,JUNGLE,JarvanIV,Briar
KR_7840526950,2970,KmriNY1BLAlQu4aJnJkqjvcGBOeYrTfOvEZk1aV0a79B9ObYqkiRiAXZHXUntbzfW0urd6KVvJHunA,100,0,MID,Smolder,Ahri
KR_7840526950,2970,NmBz0wds0jkgKGDwWbJEHhDVcQ968lnc7ESvMrRqRJIl6EobSduLR-kDAZLUIzep5jnUZi0WwllNtQ,100,0,ADC,Kaisa,Sivir
KR_7840526950,2970,MVEb5jyLx_FXfxxmmIxTnQpTCZzs1FnTNfeQUMIlyTHnQhGYEdpWVk8lc3XCwNtssKnQ8jw6npNryg,100,0,SUPPORT,Zilean,Neeko
KR_7840526950,2970,QBGvrwF5i8WqG1ZT9rtLE37P0KHRGX-W2IfrFFNyp-aUF00sM0igkDR_0ovrNpr1dL6Jj7Vvcxi94A,200,1,TOP,Volibear,Nautilus
