matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7803297112,1775,-ST3JYLeZHgjKqrmUlcm9JLktfvzBraxxjxKMnr0g6Ygdat1LjN0ZmEYY9ryH2EjOcLTCe21o7FUMw,100,1,TOP,Aatrox,Trundle
KR_7803297112,1775,050dorPnyPfxQ-DmOntXrWh0fCmaNcbLcWNDhtQgz2QnmaGx7jVOJMP_4U7EdFE3PC99uBS06rgaTg,100,1,JUNGLE,Pantheon,Sylas
KR_7803297112,1775,9P9FyyCgtqL7vTFCZFmK4L0PS3BgAEoyJ3Gzlu_m5dkdQ_eEQALK3-SKR2QjzUXie2r97g2Vym8R9g,100,1,MID,Zilean,Yone
KR_7803297112,1775,Am9OOeQATQVXH7W3FwM0-uXtf7e5BbGrek7cjDUw0Ek0mn-dGWAzBlZlNNIhz0Rk16sWP1Um3Pz5xQ,100,1,ADC,Vayne,Caitlyn
KR_7803297112,1775,xP5WbW5kHnmhkrWaNE8lOUEmLdXPPbMKHI0E_tJJC8wSrsRA4ZX3h1KkOXtXmCRRnY4iIL1pcVaOHQ,100,1,SUPPORT,Leblanc,Thresh
KR_7803297112,1775,79uSy2NmBiktjfn0m3-w5Mbkc4mR8O0-2t3TMEaEIq6byVtrVitISbQg3oFoJN9Gm2ihrzQaAIbUyQ,200,0,TOP,Trundle,Aatrox
KR_7803297112,1775,poVFSEztmW3dKhRO5D3ACX7cMHJko4a0kIC0sQs2t70Wt4UkgZ1hUb7w118psSWAt3jpCZq6tfnj6w,200,0,JUNGLE,Sylas,Pantheon
KR_7803297112,1775,ygwcITz4he6IBLDH-Z-OyT4QzpUgfjhL-iBDCdR1qPvT2-LPFzGO7-e1Jc46M2FKHOgAamsCxFdJUg,200,0,MID,Yone,Zilean
KR_7803297112,1775,S9nTK6TOOFRyg4ZLLrAenx2GkUm4krqEUh9bbGgRhzsIoHw5iz1oucvctHaCBXmaHd3v8_BhCEl79Q,200,0,ADC,Caitlyn,Vayne
KR_7803297112,1775,i3U7qPrhPNYsYKtvE5IYFwn7CqmglDnt8UkFdGtVHcoTfojyeijO7WoiWEwAiNkrayyZf9WARSxlzQ,200,0,SUPPORT,Thresh,Leblanc
KR_7933965188,1947,lwLA6G3FI2N1PqYQdlDmnKT1PJmMHHAsqnqAWBqHXYlv7DkzLFUV1GBLXZx4l2oCaUVSqVtgUMpTdA,100,0,TOP,Zaahen,Malphite
KR_7933965188,1947,JOngLBUnhQ084975EU1qM15o_AD-YXXjl7UAECX9dUjNCwkRLxpovdKfeMf2_ml88L2TPsXIsGUdEw,100,0,JUNGLE,Ekko,Viego
KR_7933965188,1947,9XMuINLtKvWNxGAiXF4q9whTphl0mEtNjLs1CsfbutF9n3vpYF51zqEYpZKWx-NLAp67a31yz0I8ag,100,0,MID,Ahri,Yone
KR_7933965188,1947,_Ps02bsSwEhIPIYTBbXMzb_4nc9E9LoV7uixKF3Saga4vbjp0pLhUlVQExQMF2e2yvV6YxUkVg9Mog,100,0,ADC,Ezreal,Kaisa
KR_7933965188,1947,sTrx4GzGDnFafp9TxlLcL-pysPLa_4vTKOlv0zTwmvruKnvsnnbUwCxwMaWohlMKZAc4XINurWGIkA,100,0,SUPPORT,Seraphine,Leona
KR_7933965188,1947,J0RDRScFzJi9W7QloDC7CehCIp6Q14nNgZZnTYAUIc_x23HyZnjBmJM5VVZLOuA62NuONz1BtHCeSQ,200,1,TOP,Malphite,Zaahen
KR_7933965188,1947,iCSzewcJtZeroMmvyteXxb-DcoTGT9YHUygGD9vAMHkt_e9c3IHxDM8czLgkOnSc34M5vViO2OEb6w,200,1,JUNGLE,Viego,Ekko
KR_7933965188,1947,K29lMXdOkxKU2yWuUJVbD1-FiIe9sgy8D9hR5URMikteNfTaA23R7N_5zDZHPiF05gIlygoAUHAzrg,200,1,MID,Yone,Ahri
