matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7667297531,1603,wbVoA5j9-Q5I-3O3YlAZlvTt85EVH_dvc36tRpR4To5rEgQnrnIHQAOfwYTrYhPZwYtyw7vGbggv7g,100,0,TOP,Garen,Warwick
KR_7667297531,1603,4B96_idpCNAXpmEK1iOOT3aJm_U_G2ve2fv_0BO7PaOfaosWgD9RxofOkNBmOqbUtIYcCuUMK_onuw,100,0,JUNGLE,Trundle,Pantheon
KR_7667297531,1603,uX7oaj5rpkZqCmZ2pmSeyYlc04RhI4Q5H-wUuEUmpQu3fLItSBcM9Ft56r-uMUnplWGjrLw1gqxZPg,100,0,MID,Ryze,Leblanc
KR_7667297531,1603,BD48-E_DPRVOfHuxUf3BRCIKlpxoQ7_YiONgnPbU6dDAto-izqiDARkliD9e9mqUmwB-6TQZPrfxPg,100,0,ADC,Senna,Ashe
KR_7667297531,1603,XwtGWby6LgWGtYLAFtXFrwn8UPvKN-YI7qgM7ZUePoEa1s6Af0RPssKxcLCtyRL1LQXP-6H7t_AtNw,100,0,SUPPORT,Lux,Sylas
KR_7667297531,1603,9FuXBNQNZQJlhNvNNahPJmgKmP5sNXPDqLAewxxc1tEGXlYIb9-vdc6NS5FDJmnzKmGC7EmBpEqh-Q,200,1,TOP,Warwick,Garen
KR_7667297531,1603,R5hVKkbcIBckvJ00Al8AJx2JH-X4UUSOZS5AeX4MdT93j5CRAuku20kBtFHQLx5OIZnp7h_j4WFN6g,200,1,JUNGLE,Pantheon,Trundle
KR_7667297531,1603,4kJ2VrV6uCAQpfvFoqwK5BtcyaSai2FX6KqBeeyb_wTRQZ-WUzC1bUH_51WdyPfhsRhrSm-aSjdFKQ,200,1,MID,Leblanc,Ryze
KR_7667297531,1603,O9LoTqw3osBOfnWmgFfokI9uE5ZFHJMkW_zxUsyr2BxSGZCCp3BNeZLRrcPqf-SXm9GATvWpgsVKMQ,200,1,ADC,Ashe,Senna
KR_7667297531,1603,uU-h10FNvELAa39KDygS0Slv2HqeZ-DKu734Fy50W7x4UfAEU_4rQDngRwbrxp3OcHFVwdKgEgJRrA,200,1,SUPPORT,Sylas,Lux
KR_7659237017,1971,UpA4dEeJCpdBAaD53n2bqYFe_TVwlPdkAUDIbMGjQ3n0g4yuQnB-n3ZmhoHHzIbLnQGMhM8vHfcdQQ,100,0,TOP,Camille,Heimerdinger
