matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7790514619,1086,HtUsfy28jXBn6rbqgOXpTmUR7Vytk8_KDCHA_NkRr1uGzekCKB_bajZm8IHV_bdovZ5eN2t2L6URjA,100,0,TOP,KSante,Yorick
KR_7790514619,1086,v-jvh66NsVWZZZBUKdghgdzLhQJnaHZz2i0IlIubEjMyhwr0bzb9Lw70tg0Uyh2D4738ml6_Qu6nmg,100,0,JUNGLE,Sylas,LeeSin
KR_7790514619,1086,4s1HUhywe9MM3uklX5qoHTAp0v2gOZ0rAALXWxOzg0h9dKjpJpdLGNPf9ToThuVA2-0AIJWOBfwS4w,100,0,MID,AurelionSol,Anivia
KR_7790514619,1086,gl6FBHqR_qa_GncAVU-lwbi7HJSvYCItfQoUPUew-NAoYZp0aV8j2FQ_OLmt8zz7vMgEc2XZ4GUwnA,100,0,ADC,Lucian,Tristana
KR_7790514619,1086,HoddGhHZaWuZrOnNW6s6zz504OkXUdwJpKxqRtRQuf8nAPtTw1BQ1rlXSqTL3OzBZ9HcBcdqWgH4Fw,100,0,SUPPORT,Lulu,Rakan
KR_7790514619,1086,HSEE6sVuMnzObsgdDro32U3BoaU9iu_S7RtO7C6UvQAt6_6U5U0IdBpMewWt6ZyLvsxLSYNaf975NQ,200,1,TOP,Yorick,KSante
KR_7790514619,1086,vDNfU54fk11jMCnAzQhD2Ak-_rt8tW8pmmrHeAwLrdEYjGGrJ9p8_MuUQII5_mH3bpPwo6Zk2lNYAw,200,1,JUNGLE,LeeSin,Sylas
KR_7790514619,1086,71xI-7mvy4IapAOxsmfrtZdXNo_NrAPrVEpoluOKla_kFT1e2-Vp7z4HAP1aDziqVLeKFKLvQ4GyXw,200,1,MID,Anivia,AurelionSol
KR_7790514619,1086,8tLJrAA6f1nJhFsyIBd1ts6q5aYsnnZB3Ms3lTKjT4-93ha928l4gs3cgixPp8DsoJUph0iEy-22XQ,200,1,ADC,Tristana,Lucian
KR_7790514619,1086,5PvvynjbUupAQPA0OB16ZYytmGym8q76ARfxvHSI6G2r0MzxbNtQ5wzZ0jteQyaCiIuN1QlglxosUg,200,1,SUPPORT,Rakan,Lulu
KR_7938476605,1761,XZg5cNFriOVYukr4W7qtiiiOPqvNxVaYmzAtMVTwWvabHvzobY_CM4amTiyQ3RNR8xBknoXbFpwfkw,100,0,TOP,Zaahen,Malphite
KR_7938476605,1761,3RK9ilCzaoChvX3VzfiQx5T93yv5OsyBo7Y9Xbm6i98vjwLM5QhYEC_A0tJYEehES4wiL-KAruUp6A,100,0,JUNGLE,Pantheon,Aatrox
KR_7938476605,1761,j7mvxgUYpj0AACAc1UsGs2uAaypoElKmYiRfRhsZBgFkr8IUlT8qSFjc-6xCj56x9a_ZWGFcN3DlPg,100,0,MID,Taliyah,Ahri
KR_7938476605,1761,87vcFA7Wva6TgxHqUW2-Derr8aMEj4Q86pRwSdqsFBbAINAh323H2y_5LSZHVVP4xNPUREkLnApi4w,100,0,ADC,MissFortune,Jhin
KR_7938476605,1761,m2mjFhIPhc9cMy1Cx2kgmWyIAyrJ19X7EBs6l9tl14HArK4RRaA7Mjo_fR9XpmOSfyqEzHIf1_0mFQ,100,0,SUPPORT,Zyra,Karma
KR_7938476605,1761,zbqV8h2VUELqVZMCeqaFB9VCLi1HXU0sJ3Xa9Xq5m4g4o86nukjKUtl_szZdcDdilDsLE4F9EETsPw,200,1,TOP,Malphite,Zaahen
KR_7938476605,1761,qwQRHOAtwtkF1k9Ptd4SJ1grhETVM-BzNJ-myh8C_mNeqrV-9W8-4OeexijQFaxBIm64z5GeEIvmFQ,200,1,JUNGLE,Aatrox,Pantheon
KR_7938476605,1761,t1-pxVVI1EnMhw8phTq3JzwW-bk0QGMI3WfgTwytPyVP2qtfwiJ8XI5hLDqiOqz0zne2Pj8Fku9FEA,200,1,MID,Ahri,Taliyah
KR_7938476605,1761,RZrsZgu0_XX5zEtfQlFiw0wB_sjo3bsK_GqlO97KZEV0B-jvuFbKfV35pqkjXuqeTuW8O9G0YzCvoA,200,1,ADC,Jhin,MissFortune
KR_7938476605,1761,8vVjBuvvRBLMJNNzbny2UQq6jr2rFKq7qJAsImvpXXY0OSMdQPkuR3u1v6RwWAytLXfJpkVkPBl3tg,200,1,SUPPORT,Karma,Zyra
KR_7919326300,1871,UGPaqnDwLe98-nT6Lu_K7d-xw-wvcPQbtDqA2cPp8XgFl7_DsNe7Od-qOJTjBVqixKznVLrgmn_3CQ,100,0,TOP,Aatrox,Fiora
KR_7919326300,1871,Uyp8MmYmw1pBL4Mk3iNdB7669B7vP6xFNxA6ZYZPt8Ny_HJvKisTyFWLGyb0o0IVWMdeT8pymDFkOA,100,0,JUNGLE,Viego,Khazix
KR_7919326300,1871,rSY6qDK0HG2lnFiQzyqZOVjzi1--si5Unurybig4KprPjVpS3l8irujMpd9oHaJXSwNHsGSeKv4VGQ,100,0,MID,Ahri,Syndra
KR_7919326300,1871,GmT_GefMLgLHzSeg_Q3OutvTPeteCgdqnpeUPflrM81ZuhxpbATxIha2N2EZhDZvYFVoPUf-18GGGg,100,0,ADC,Yunara,Ezreal
KR_7919326300,1871,p8lQjj4vq1oPViEHojRctwowqJPZqE1-Y4UV0-JzuT5XIrSJsSLXqvbKeY1uYO2GYymfovCnGRg4yQ,100,0,SUPPORT,Alistar,FiddleSticks
KR_7919326300,1871,Z26lIHm3L_w8HkuZWsoLt0meY76dUSClfbsOSSc3blY75wan4OBF5vI4tjk7jjbJSJDXC_jAixH52w,200,1,TOP,Fiora,Aatrox
KR_7919326300,1871,-bJmwRNh4OYniHhAcFrXWhOEhL32uKcTaxZkhWH9ALsgvrGRXeyMwqHGbut-kBtr3MwtawSZDMgpEw,200,1,JUNGLE,Khazix,Viego
KR_7919326300,1871,7eri3TdD657Re2fqo18MRxCne-EEj89P7qe6ADA5n9OUaXig0oTK2hTNqxuK78C5hW1OvFa_EdbLOg,200,1,MID,Syndra,Ahri
KR_7919326300,1871,XizSk1K1pFbw5d6GDFTziVIGEXkU8efwcb4hj47tUSlom3L2j61ATmJcm2lg56OjOQg1DAKxxs0MxQ,200,1,ADC,Ezreal,Yunara
KR_7919326300,1871,0cz77MYgi5ve6_Y_6nIHU_1asJtckqVhkmOSim_u9RSPU9gaedriTODmyDVsAPFWAiPAmQF7DETX4A,200,1,SUPPORT,FiddleSticks,Alistar
KR_7934749034,2153,yJxBiErD04vGdS2TjEJI0TYx4MJb0VRa-C-_AeVyE49JneEhhpapgYztyZAOyI6HTCGF2WYmTH0nSA,100,1,TOP,Velkoz,Sylas
KR_7934749034,2153,ljYAltp8sH1Gh5Aj0umQb0DXGi6b3H0bM8voSWwB7_yVakxg2qwSD32ULlFtj1Q3KWv_TfY844Tn3g,100,1,JUNGLE,Belveth,Jax
KR_7934749034,2153,4OKfPxp5ByfOhr8JRWsyc59vdTOtHDYnAxNdJHFRQP5pQhK58KaU5HC6fg__uBDPyFHI6-aUT2OIsw,100,1,MID,Talon,Katarina
KR_7934749034,2153,XvRavSud8Oiifb14qosxvkEGtZIZs17E6ai4rhonYiG4l08a5Ht3WKGPeoUgrNnjvBojfsMOrz4X8w,100,1,ADC,Caitlyn,Ezreal
KR_7934749034,2153,ww5RN2aS2hHdcKfLk_0ZHLduR9Es9tWpnLoNW-HUtBVs0cSRplkBDUlvwDiSRkTKYE0wfzwu1hXcNw,100,1,SUPPORT,Shaco,Soraka
KR_7934749034,2153,gBl2gq3DTtgNOqTPrQzy0kZmAhp4jjI_uMZ4P3qfGu8bGqGmjV0CYLqafTRPD1U4VAf3SHa3vFqEPQ,200,0,TOP,Sylas,Velkoz
KR_7934749034,2153,3tXEgJb07ooU3J2maczA3OEuSP5KePBxJZmygoW5Gg2Jw3agkowczieQZ1cAv0ggpNIRij-J9e_yjg,200,0,JUNGLE,Jax,Belveth
KR_7934749034,2153,v0pZ2Fl_CVqes7gLqcqEJsTs7BC7sjbhirl7-jEkpq6OwUdrCnu2yp_qAQEF8rfDNj5ZCYtVvNUhAw,200,0,MID,Katarina,Talon
KR_7934749034,2153,6SVvskE36ub2-XENvyeVPV-WNps7ogNokl7XNXsEcRI5t0S4z-9YvlJkDuu0lwGsu4h-kSOWFLyH2w,200,0,ADC,Ezreal,Caitlyn
KR_7934749034,2153,KolTu2Efb3zq9Ijf7pU1BQSFhqf0PVEVwMzPt8O7_Q7cWEZ33e6UY9HUXInUafBwQ2G9J6Wz-8UxcA,200,0,SUPPORT,Soraka,Shaco
KR_7769824237,1683,adQHnMKftadFs2jEweW3I9dYmY7r-EjdqNrWjZAwC9ClrjyJ2h0G8IFMCnm4p77dsiC8kvo4KgYGVw,100,0,TOP,Malphite,Zac
KR_7769824237,1683,oYsmBGjze8mojONvGi0vRp2iM6NG_vtT1zS-0AbS_6eNaahNnLIRFFLksGwyMb48hDkeDvXsW8o-2w,100,0,JUNGLE,Khazix,Talon
KR_7769824237,1683,wC63tUfaAzDuNsZP-tIktiva3JCwPTrjsJm15yr-sx0b5jFDBf4gOihkKEOj51dfpZTz8f8zdl0hVg,100,0,MID,Naafiri,Leblanc
KR_7769824237,1683,E28ApcG7Eq4noBcC329HTHF_ZzCYqjb3LPW7KLI75m58881OM_Kz4bnxrMjeD1VjpsKGZLqZzlnlKw,100,0,ADC,Sivir,Lucian
KR_7769824237,1683,oIDoKUx8gd5kS8PiYJrOS-hJyUVpR1urCGqtUnrSznjjwiQbZn6fnzcOZU3kMisfn1dQ0oVGnrTXlA,100,0,SUPPORT,Bard,Rakan
KR_7769824237,1683,WiINs4qQcE57gzqJmSQtstcHXvELk-2XJXPf-zLsFvyHbLQOA4HVXB0VXL01KOtL1Dd23hT5dc9Lig,200,1,TOP,Zac,Malphite
KR_7769824237,1683,ecj055804qjxRawnGWmXHK_gHaIPKuRm7MWiXFgEdwdamb5ywo7043ZRIfv4_sKMvOVa_HZ_pqBLug,200,1,JUNGLE,Talon,Khazix
KR_7769824237,1683,Xkv6Qfdd9NIFJtxdTUoCiPGnp6SQOmp-yLSKrFI62SnikmqftBP3QJnrYg9-eeo3jtVYCB0_1ie4Eg,200,1,MID,Leblanc,Naafiri
KR_7769824237,1683,VdQuqXgFjgPmXk4W_HmMNYKHhTwZlO2QEECTClZkL6wSFerzv4TrxEpjos7LduTYIIPJfESkcZ-LUQ,200,1,ADC,Lucian,Sivir
KR_7769824237,1683,Y_nDxxU1gbMB0RnlA8veum-TlfGtzDkxj5DD09ijWNSusBuY0N8Y_xHLaavHjl-KMT1v1OeRpFnYuw,200,1,SUPPORT,Rakan,Bard
KR_7934335714,1636,yqicVi47dgZiVeRIDSu9XHzxuL3eZhX44y3yy8aKqmjk0oUKa2P8tbH2Q8PcAA7SffqEe-NBu7O2Vg,100,1,TOP,Fiora,Renekton
KR_7934335714,1636,GQQih9LjMk0tkx1vcg8tPjLHjK8DFiO3pUjHyFcOyuqQXAZ_MkAkSzHSwRHD2NsJ1YEasW0Ijw6I0g,100,1,JUNGLE,Rengar,Vi
KR_7934335714,1636,eCUVWrx-UkxBinm9BOkN06pmVKt5QLRTxx49OlwzMAAH-8ltdeN9skc5ypZeX_z86qoe8L7_3trWpA,100,1,MID,Akshan,Mel
KR_7934335714,1636,j433kUZMFb1UeLREVUlOk16DQi4VdsTcXJ8l9Guy5VRhasxpIC0s1UNabBqdqLfAj0Y038i3ODYLtg,100,1,ADC,Vayne,Lucian
KR_7934335714,1636,vrGny78cN1vjGKwgjCT7uEYwlM6f7d_puNQFaawtFH582rheCmP_8rar3fvrRuNLAbLeE0HjtlZ9Ww,100,1,SUPPORT,Blitzcrank,Sylas
KR_7934335714,1636,yIU9tvncSowkb-P2iF8NxegdLBEp47f9MSn7Km57Yu_QyVedPZE795W-ATCjr79vo38v7sybZvOVZg,200,0,TOP,Renekton,Fiora
KR_7934335714,1636,TdJPcSzxg9tGIGAX7jaZddhAnxS64UypvTik4we3l2sfT-8ItxLpPlhE5Nsw6wzBK-BG1gZHB8fYvA,200,0,JUNGLE,Vi,Rengar
KR_7934335714,1636,z9Ey-ealna05zXWhevgcProdxaRbxMXyFRoj00boU8NILcTb4r5RRxgTlKyIlQJD4frOS_8OC47k0w,200,0,MID,Mel,Akshan
KR_7934335714,1636,nBwBPkAEJsIfb4sOuJAwyMmRP4o9aO78Pa1nATZxnrMfto0I_ji5-kmI6TwTugQhlS2aMlhgMY5wSg,200,0,ADC,Lucian,Vayne
KR_7934335714,1636,YauaRDXaf8V8cM0VuHP_eemzDyCY0ueR-rio9hv6cVqK7Gew71Si6yyUubreE9U7fhvINnz8F54kCQ,200,0,SUPPORT,Sylas,Blitzcrank
KR_7882131324,1818,CogJSytmzDA6rGkQ5VnKD1yEcaScluyEcntfT7DsA11ppJdwoZo3ybp_wSpJFjAkJbcyJsTDRQiScQ,100,0,TOP,Jayce,Gragas
KR_7882131324,1818,Y5lmXOJFcI0aqTVJo0qbOhRdnat2wOt3726c1iSdGy68UZAI4ELY1kLrHeGktgYhojH0KVUWpaXH-A,100,0,JUNGLE,MasterYi,Talon
KR_7882131324,1818,n7Uhaq4J9O6vZmbZ6_tAdVFftWzEqSTzZaWeuoWksae4-G8ysYGLnC7IACXAUYsUr8a6TaZG9wHYcw,100,0,MID,Sylas,Zoe
KR_7882131324,1818,Il2SREeGoQnFmZprF6FktgcavGSFPzw94_vZUEgSaZd_mx4OMfZ6BrXP0Zz7x_TyiOXaGPsYrLbDwg,100,0,ADC,Ashe,Caitlyn
KR_7882131324,1818,ItaYPp8bWKWPVLvtMHLYAXZs6orOcdyK2VyFo92wR_5RRv0ZL1ZV7HN9Qd8PtNHRqKdZAzcChhh4Og,100,0,SUPPORT,Swain,Braum
KR_7882131324,1818,bbG17uzP7SQ61D-I4kb-XDcF70o5O8-ouJpaSPSJC3GYjmyTYW5XJKXuK7Yv81BmZn1XMS1bLbTZJQ,200,1,TOP,Gragas,Jayce
KR_7882131324,1818,WBiK68ew-o2chSJjBn3QPu8bClXzm6nN4sQ-mHXo5FIpimJB9hTk9p1DPB-MpFIFydTLWcvmZosF_A,200,1,JUNGLE,Talon,MasterYi
KR_7882131324,1818,z5TSm5nKIblyWPza0AZ0hvRYr4gZqh372EiVFJoMsEEb6P-0Tmyocl4kWz3aSf-b5GDcLB0-HxnvKw,200,1,MID,Zoe,Sylas
KR_7882131324,1818,lBBZ6NZX-NKiErJlUa6z4aRC7AwV1JOzCLyLdJFYCGwcfFI-g1QDGxpFbM2iTR0p1Aey8VgzDhh2KA,200,1,ADC,Caitlyn,Ashe
KR_7882131324,1818,hdFRdy3v01XnrNfVY5PD7myxdD_-j-S4NvOplyOoeQdwVddNvGqbQ9bpRDdIYvn758wh4iM2yPzZTQ,200,1,SUPPORT,Braum,Swain
KR_7913545918,1842,HmQyUv6kXIhlXKDr8JEMusA67bCvsXVkAUHVEqmqZT0UQAwX2grGhBEelamlkpZ2bV9wdpLVYMHNLQ,100,1,TOP,Akali,Kayn
KR_7913545918,1842,G8nbONSJRtI4HK3IRYRRpZLMR-bS3P2THcaKyixdwuc0fm43bz_1LoLcOKg33f0eCgIjAp0WR8hGzg,100,1,JUNGLE,MasterYi,Jax
