matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7939163375,1913,AI7kbtq62-A8IHSjo2REscnoxkZCzMIVjRGTcNQw07wnhfjQwIQ_RykGK5fLsYXYBtWmK0aP62ALlw,100,1,TOP,DrMundo,KSante
KR_7939163375,1913,8_J2A9qI8iO53ThkpCwYYjdOqzPDf_Pf2A9be_tc0nVVcQqPbM_bQqXM45iQpBmf-AbV5xI4sR53Vw,100,1,JUNGLE,Nocturne,Shyvana
KR_7939163375,1913,GVZ99RtZ8v2K-YBpOe4rDwu8gFsbJwXk0YXmS0R7SMNRizNRfmgNFcZ61yxWDdIM3tW4KVFUTk6jig,100,1,MID,Zaahen,Vex
KR_7939163375,1913,8JcUayl_n4bAuNtK3Xuz6rhj3aGqTHLwUaUB1H115y5zahbxhunETSLNcFmRuT1h-DD3lOYapRtekQ,100,1,ADC,Smolder,Samira
KR_7939163375,1913,fGZEmvSliljo22_lFdNXYCO2rZkGqqSq3ceM3HC69KioknWZtwLQmTAlfu6joZYTrXrO9PFhMuIfzA,100,1,SUPPORT,Velkoz,Rell
KR_7939163375,1913,E225cG5V17PqKnBwatyVFAh2JP6b49iqkok4xc3TeoWwoC7lvScbDL3WS3oIumzC0WtE6xj8NeW-Lg,200,0,TOP,KSante,DrMundo
KR_7939163375,1913,O5FL4RATZVs6m-cOQJfjb9CtRp2EuiLhXPhuocp_lHr-75UdkUlsuFPgSxy8K9vA23TXPCovkxlncw,200,0,JUNGLE,Shyvana,Nocturne
KR_7939163375,1913,Aha6zPlkrIWbqGSWRHUydLWIveA59gUelFnT0-DZSvO4Pvs7vp783XTtlOkBvvrjXPvExsq3StW61w,200,0,MID,Vex,Zaahen
KR_7939163375,1913,9xAAEaHcYx2VjdxtovC5bcNsaqWJXiosXFsuLXeKwZSCF7YQ035n9SGJI0Czx3OGOXwb-cffTqr3Xg,200,0,ADC,Samira,Smolder
KR_7939163375,1913,soc9b28BfmVS3YPrcM2uoa6cuh56fN8KNVSy_5fCrNGVbFlGKJ-ag4s2-WwuFNiM9n35UrFjZVRdXw,200,0,SUPPORT,Rell,Velkoz
KR_7927303850,1602,QmeXkxi3GdElawsu_-ofv5Xu6ynSgXUaZIs2umYS7c7fD9GSNkqixNEwuIXj4r_AiouoMibatMoJ1A,100,1,TOP,Mordekaiser,Malphite
KR_7927303850,1602,nZS0B5wf235ejwXsAtkoKwBc7SCP2vxesPmZLXPt18k3vq1trlDDulo-1OEnIufPyhORV1Z1udbx4Q,100,1,JUNGLE,Aatrox,LeeSin
KR_7927303850,1602,TW1irRrErDgrI5PFaeO1Dz01PhXwjbDLiHynbqzk8-4r5NooElFlKhm1U-3hKuSE7fLPgTgHpyVNpw,100,1,MID,Yone,Mel
KR_7927303850,1602,njPJ9qq1dJr7L7OD7Yeud2ta7RS181t07HVTBacQ2X4bi_7sGMGYTDl_t4GjZvswEr0UlWlEE03KFg,100,1,ADC,Xayah,Ashe
KR_7927303850,1602,QLKY-lbS8ZfXWEcvbNru1CJIMwhE4rnYHzSlYj4ctVqb59GzUN8_On_cyeGshOQI7dvAxRXrS41EJg,100,1,SUPPORT,Fizz,Pantheon
KR_7927303850,1602,KEjznIP7Ykt80eviCmAv3CwFM0hrjoTLeOeCBifTFTcEw62J7ZaYsBih4LogGdSk6pGQSG-XExRBxw,200,0,TOP,Malphite,Mordekaiser
KR_7927303850,1602,cz2Wur5Xh_OA7Tqp-O3e_lcazn_eCEmUXO-xAMaLq5hst6oerLFEdYp3pb8SlKWB0kz657wAljetFQ,200,0,JUNGLE,LeeSin,Aatrox
KR_7927303850,1602,akcL2CuSbFoVa7CRje9kJj2crExx32f0X3byzhP8t0uid1_TlSA6qGv632B1HFLK2c8VVAhWevzIdA,200,0,MID,Mel,Yone
KR_7927303850,1602,5nl3W33uQpUN1rfL81U5INFH1_xFw-4yqsBsYIAfHGOgLurU1XGrUftMKmQZ6BHB-apNs2hZNygQOg,200,0,ADC,Ashe,Xayah
KR_7927303850,1602,EZxcWT9swcsaI3_sQQeuRVoOpuPNshh-aqcTOZwddxSxpgGrCz4vUL1qoRJ1s8SKOVxvRKdoxBMTNw,200,0,SUPPORT,Pantheon,Fizz
KR_7914682331,1519,EsAHMbpRO_2BDHmx6uxIXSkBHzMIHf1dhUr9SD0dK6EDfSDfW6TS5daejDW1QaRd2t-zvTm8onOjCg,100,0,TOP,Kayle,Malphite
KR_7914682331,1519,XJGJCAqBz4g4OoHn_ePPB_B5CWZt_XETyZOgL4jhjdEdVHCO0MLxOPpWclW36bl2nXQFCbxNbs78wg,100,0,JUNGLE,Diana,Khazix
KR_7914682331,1519,HHKt4ugyrtstiPpe2lFGhXsYlWlCwFfZO0Ty3rrl7MiMheXnpUao_pIId9LZ6l7CL0f1XGS9M_jfpA,100,0,MID,Leblanc,TwistedFate
KR_7914682331,1519,azvmZeBw3hbe2SHoKpNlsEJFhrF4wMrYjpYc2naFiItGpzXSlBiXNDN9oCZROb2r2F5cONrOwL9ijg,100,0,ADC,Smolder,Caitlyn
KR_7914682331,1519,S9NyhWiI7LpHs8dtrWZyLbyjpbnQq7npvIuisD9U2T6va3EZwD3Sn4KWHwQj55vMbMRRLFKzXvCcDw,100,0,SUPPORT,Swain,Yuumi
KR_7914682331,1519,Q3purSg-F1iaFaaVhMHL3BxYTftDohqxykmtnm7F3_WttMyqv4rW28V4gdylNrooqkNBnjx4Fu72Kg,200,1,TOP,Malphite,Kayle
KR_7914682331,1519,m4UwyX5rG0gCArHJfkEv7ISWawEqMlbWBq16aYNivqXzreXPXcxT8kRj2cn_iMxdFdkMtQDNb3fmhg,200,1,JUNGLE,Khazix,Diana
KR_7914682331,1519,hMfcfBS5Wh7PC7smFzr7mvHrUd-vd7uCI7yl4CRrSTAZzzJXt_1F08UHWe97P1dOh3n1p88fu0_Cog,200,1,MID,TwistedFate,Leblanc
KR_7914682331,1519,lqrRDE23ZfhQWaVQWnuQUqxGSbyj_n3OKU8xmxwzmowapbzR-BRV2Onfx42Qx6ukWYvtR74TKM1row,200,1,ADC,Caitlyn,Smolder
KR_7914682331,1519,ZnkHhdcfjTs1jLHzs1MtiyfhSyqtmiJZ4O9Bvla4MnMXVLaq0y998DO8DFtogqVYBsqGsZ9sa1AUZg,200,1,SUPPORT,Yuumi,Swain
KR_7895333813,943,vatuqgaAdzFGlMzFXITgm5upTagkjT9Y_7XlzPHj9Q__Kf7UUi5MDJ9lL_VUz05JPnCGrQxoSThMwQ,100,1,TOP,Aatrox,Olaf
KR_7895333813,943,gjwbDOAWNrs0C6Ijj0a3Mw5IEQTPJoVq7PdQCMorCl7UjkVDo_-QWxMxr5As5tw8RuAZ-DrtHfkbxw,100,1,JUNGLE,Nunu,MasterYi
