matchId,gameDuration,playerPuuid,teamId,win,lane,champion,enemyLaneChampion
KR_7939229104,2183,3sL4GS3X8TcP8hW4HFCoHkdQJsB6d3irvIZQ42T9_GtQN01qsE7Sg9AE3EDx0ihJ6W9QR6hqcR44ug,100,1,TOP,Fiora,Aatrox
KR_7939229104,2183,Bh7FBgR6CZTbQ_wBLoymBn-HZFmY8nJXMaWaAt1lshB-PQp5xSEpklVWL4UfgZ1QdVGgGH_33iq1Gw,100,1,JUNGLE,Riven,Lillia
KR_7939229104,2183,Pwv1odYvlnxu_7HytOeeYgRaqOyFsMaB-dLhTXNVeiCWfjR04smpPvCxNQUCrj5LX-8sTr6Hjshh2Q,100,1,MID,Akali,Yone
KR_7939229104,2183,BCeiAgQNO3A6bCDj_24bM9IaXl_E7xV33KGDWVfN3aXwrlMtcNtpkehQiruRZFalYp7jI-RynuLRKQ,100,1,ADC,Ashe,Sivir
KR_7939229104,2183,AtbNh1JF83sYLVGhJEDsRS6RFddlPHKe8pmytKu53GcIhuSsIN4rz_X6NcHEzcq_95ZJK6T2gM3W0w,100,1,SUPPORT,Leona,Yuumi
KR_7939229104,2183,MRBQhy1qHGVJYnoX56E9hFHIxlrTEUsFcSGKXJdpU9VpAvdGVOkSVzHCaez2NYK0TEUSFdJKd2zLAw,200,0,TOP,Aatrox,Fiora
KR_7939229104,2183,oMU2czpa-xOpTajospuREm1-Ckg61meI1t-vCLnyYg-bh4vzOp7VzGcOANyvIYZCw_PUTwRmMTAarA,200,0,JUNGLE,Lillia,Riven
KR_7939229104,2183,Ddnl8XIidfnufOXU1qmuPih0vQZ87wofh13a3X58F9cE7HwM_r22P6emIJCruHZuwu5B2aGo7lkZdg,200,0,MID,Yone,Akali
KR_7939229104,2183,wJKd4VuxS6gNUuoVR3ossmSDsbgRvsjq8hoEtoSeOvqoNRXuhr0vqkUaBTg13-p0Mdm1dDRzAcPVzw,200,0,ADC,Sivir,Ashe
KR_7939229104,2183,dW549Vgygowui46DsPZz25HkXqouEYxjaj9p56Yqv0Me9HnCC1mFv972w1bvUJ7uSAigqiN9-6t6mQ,200,0,SUPPORT,Yuumi,Leona
KR_7894959756,1751,U5Ys06rMFXt2oSKFEzC0bB22NDE2-ekjD0TGvEkMoarcPlHaCyp5WU1rOTnZ8m3FFgqbEaH039Otxw,100,1,TOP,TahmKench,Gwen
KR_7894959756,1751,B5JmusEcEWoFPv0EcYsTmUBXjUfPbYRuf8OPAjyEiKTXJImYU1Qqc8qh2dx4OMhs-rwdnTbF5ZFjag,100,1,JUNGLE,XinZhao,Rammus
KR_7894959756,1751,9fKp_5kYIrjlPrlkLoSk1qkH2JQGhxHC5-pfXVVDNlsbQvhToYRd1ZFd3wfsdPucS36DhPYuwVIGqA,100,1,MID,Hwei,TwistedFate
KR_7894959756,1751,gb0qq_3Ysj-2yfBgCVQVm5EIohqxgkMHagOS2ElxynNDQX5kR0e23C9bIx-qSQ1lnkDvFTCY6Y5KmA,100,1,ADC,Kaisa,Ashe
KR_7894959756,1751,lRu_4FwnjP_q_OkL1TYxXzmuNbQNRTlMw0WjbZENecH0nJ-W_w8d-JCJANKRZZhSGbCed8WzRUMLzw,100,1,SUPPORT,Rell,Thresh
KR_7894959756,1751,TPMar5hrl-Pi_3m8DwJQN8o5_5yS-PkVHN2vJnfHWCbQWDEbw20n2LU3NVkpBDGJdYZABmqQevD_fw,200,0,TOP,Gwen,TahmKench
KR_7894959756,1751,JpGhVJ_DBTIIIa1EaPvsDrEqU2D5CJBJLek2iE2PpC0PPVwayQosMG4cO-gNaVZlFeE_39l2o7VPGA,200,0,JUNGLE,Rammus,XinZhao
KR_7894959756,1751,kXBy10Qzkmpi-EJnmEdSXdSgJ1ielqD2DN8K4BvUwNNsZC4lbamXMEvsv7ELH2jIRvR-5ccz_uDpFg,200,0,MID,TwistedFate,Hwei
KR_7894959756,1751,FJu9uNIzW3iJiK-dyfb0_G3fVukRlRDtyqeOprumPMDJuS9twQt_KTxo6D3tLykCZpe5muV-bq4xhg,200,0,ADC,Ashe,Kaisa
KR_7894959756,1751,LJYERiIhpxTsecYsRNdwfWHlgRShJ2IHOnHm9AcbHCf9uRkiXEmcTxj0m0awHqb13plUSaS3ajkDUg,200,0,SUPPORT,Thresh,Rell
KR_7922008553,1596,fNQhEWvC4EsQHs2jnoEG7PRA88lmgpg4S4-nxSAZC9uQ3xrahCZ9ynSdcYdrGtHMCDescjrC7it4wQ,100,1,TOP,Yorick,Illaoi
KR_7922008553,1596,FUGQm3dvny1TJk1iNJ2L7aJFHet-W_9i_qDLzdxLMPKJZ4zwyrEbzIDEb78MbuwIS1wKgOx0grc-lQ,100,1,JUNGLE,Shaco,Nocturne
KR_7922008553,1596,vJ-ieuntub-2YlNKNU1_v7I7N63n6BgmjNTQeYEyTu6z7-R8XEWAY7WS_AOE68siPQsye2EYL55gpg,100,1,MID,Anivia,Mel
KR_7922008553,1596,aI4v79wOT-C9in0shTOyTnnzETPTXHCxIsuqD4Hn8UE-V5GDJ_5F7cQAOrx16Eh2H0TavoV9EpQRSA,100,1,ADC,Caitlyn,Kaisa
KR_7922008553,1596,O_4kkIToHdp9qLzQQFMlll5iAUUNOPTMJtSGTKntuck0Fh4NTuXIEt9PTFgGleRIfCtm354Lg9R7yg,100,1,SUPPORT,Morgana,Leona
KR_7922008553,1596,mWny_NcQxIE_tBwH3DRng1Cmx5dnhHI1TdhVKSnktigweVRUlN6leke1LQjoH68Cl2Zk9muFmqlJcw,200,0,TOP,Illaoi,Yorick
KR_7922008553,1596,fojNryPJQ_RybPEgF0f8r2tEfspoIja0idFpoHGXCJrH6kN1seB_xRqkYCSFxhCDMJroDq1Rk74nKA,200,0,JUNGLE,Nocturne,Shaco
KR_7922008553,1596,Qg51-T-zOqf2hQTdbQDP1UHHlDFX-azhdwLWZGT7vMviJK-wALHKhuM5ex9ANruIB3CX1Mi7uPmTvg,200,0,MID,Mel,Anivia
